"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
""
"J14","Header_FCI_20021221-00008T4LF_8-pos","475.394mil","312.008mil","475.394mil","312.008mil","550.197mil","237.008mil","T","180.00","Header-8_PoE"
"fid4","MountingHole_PCB","4409.449mil","4516.732mil","4409.449mil","4516.732mil","4409.449mil","4516.732mil","T","0.00","Fiducial"
"fid3","MountingHole_PCB","4362.205mil","221.457mil","4362.205mil","221.457mil","4362.205mil","221.457mil","T","0.00","Fiducial"
"fid2","MountingHole_PCB","60.039mil","3276.575mil","60.039mil","3276.575mil","60.039mil","3276.575mil","T","0.00","Fiducial"
"fid1","MountingHole_PCB","97.441mil","1699.803mil","97.441mil","1699.803mil","97.441mil","1699.803mil","T","0.00","Fiducial"
"J10","Header_Harwin_M50-3600842_16-pos","2905.512mil","4441.929mil","2905.512mil","4441.929mil","2821.85mil","4266.929mil","B","360.00","Header_Harwin_M50-3600842"
"J9","ConnectorGPIO_Sullins_PPTC061LGBN-RC_6-pos","3993.228mil","3077.402mil","4159.449mil","3037.402mil","3993.228mil","2827.402mil","T","90.00","Header-6_PMOD"
"J8","Connector_SMA_Amphenol_132255_Edgemount","324.626mil","4571.811mil","324.803mil","4629.921mil","492.126mil","4578.701mil","T","360.00","SMA_Connector"
"J7","Connector_SMA_Amphenol_132255_Edgemount","857.106mil","4571.811mil","857.283mil","4629.921mil","1024.606mil","4578.701mil","T","360.00","SMA_Connector"
"C458","CAPC0402(1005)60_N","3770.905mil","1987.519mil","3770.905mil","1987.519mil","3770.905mil","2005.235mil","T","270.00","CAP_0402"
"C457","CAPC0402(1005)60_N","3822.835mil","1987.205mil","3822.835mil","1987.205mil","3822.835mil","2004.921mil","T","270.00","CAP_0402"
"R63","RESC0402(1005)_N","3177.166mil","2788.387mil","3177.166mil","2788.387mil","3196.851mil","2788.387mil","T","180.00","RES_0402"
"U63","OR_Gate_TI_SN74AHC1G32DRLR_DRL-5","509.843mil","1902.559mil","509.843mil","1902.559mil","536.417mil","1882.874mil","T","180.00","OR_Gate_TI_SN74AHC1G32DRLR"
"U62","NMOS_Fairchild_FDV301_SOT23-3","421.26mil","1872.047mil","421.26mil","1872.047mil","377.954mil","1834.646mil","B","360.00","NMOS_Fairchild_FDV301"
"U61","AND_Gate_TI_SN74AUP1T08DCKR_SC70-5","378.937mil","1886.811mil","378.937mil","1886.811mil","422.245mil","1861.221mil","T","180.00","AND_Gate_TI_SN74AUP1T08DCKR"
"SW5","PushButtonSwitch_CnK_1.14002.1110000","1436.024mil","1424.212mil","1436.024mil","1424.213mil","1321.851mil","1374.212mil","T","360.00","PushBut_Switch"
"R316","RESC0402(1005)_N","591.535mil","1903.544mil","591.535mil","1903.543mil","591.535mil","1923.229mil","T","270.00","RES_0402"
"R315","RESC0402(1005)_N","313.975mil","1876.969mil","313.976mil","1876.968mil","313.975mil","1896.654mil","B","270.00","RES_0402"
"R314","RESC0402(1005)_N","524.606mil","1853.346mil","524.606mil","1853.346mil","524.606mil","1873.031mil","B","270.00","RES_0402"
"R313","RESC0402(1005)_N","265.749mil","1865.158mil","265.748mil","1865.158mil","285.434mil","1865.158mil","T","180.00","RES_0402"
"R312","RESC0402(1005)_N","265.749mil","1917.323mil","265.748mil","1917.323mil","285.434mil","1917.323mil","T","180.00","RES_0402"
"R311","RESC0402(1005)_N","187.008mil","1865.157mil","187.008mil","1865.158mil","206.694mil","1865.157mil","T","180.00","RES_0402"
"R310","RESC0402(1005)_N","187.993mil","1917.323mil","187.992mil","1917.323mil","207.678mil","1917.323mil","T","180.00","RES_0402"
"R194","RESC0402(1005)_N","523.623mil","1641.732mil","523.622mil","1641.732mil","523.623mil","1661.418mil","T","270.00","RES_0402"
"U54","NMOS_Fairchild_FDV301_SOT23-3","419.291mil","1676.181mil","419.291mil","1676.181mil","375.984mil","1713.583mil","T","360.00","NMOS_Fairchild_FDV301"
"U21","Buffer_Fairchild_NC7SZ125_SOT95P280X145-5N","3374.016mil","4447.835mil","3374.016mil","4447.835mil","3425.198mil","4485.237mil","B","180.00","Buffer_NC7SZ125"
"C1","CAPC0402(1005)60_N","808.071mil","4001.97mil","808.071mil","4001.97mil","808.071mil","3984.253mil","T","90.00","CAP_0402"
"C2","CAPC0402(1005)60_N","398.622mil","3338.584mil","398.622mil","3338.584mil","398.622mil","3320.867mil","B","90.00","CAP_0402"
"C3","CAPC0402(1005)60_N","527.559mil","3337.6mil","527.559mil","3337.599mil","527.559mil","3319.883mil","B","90.00","CAP_0402"
"C4","CAPC0402(1005)60_N","577.756mil","3337.6mil","577.756mil","3337.599mil","577.756mil","3319.883mil","B","90.00","CAP_0402"
"C5","CAPC0402(1005)60_N","556.103mil","3122.049mil","556.103mil","3122.049mil","538.386mil","3122.049mil","T","0.00","CAP_0402"
"C6","CAPC0402(1005)60_N","1356.299mil","4222.441mil","1356.299mil","4222.442mil","1356.299mil","4240.158mil","B","270.00","CAP_0402"
"C7","CAPC0402(1005)60_N","1356.3mil","4064.962mil","1356.299mil","4064.962mil","1356.3mil","4047.245mil","B","90.00","CAP_0402"
"C8","CAPC0402(1005)60_N","1454.724mil","4124.017mil","1454.724mil","4124.017mil","1472.441mil","4124.017mil","B","180.00","CAP_0402"
"C9","CAPC0603(1608)100_N","1036.417mil","2653.543mil","1036.417mil","2653.543mil","1036.417mil","2685.039mil","B","270.00","CAP_0603"
"C10","CAPC1206(3216)100_N","954.724mil","2677.165mil","954.724mil","2677.165mil","954.724mil","2736.221mil","B","270.00","CAP_1206"
"C11","CAPC0402(1005)60_N","1972.441mil","2989.173mil","1972.441mil","2989.173mil","1990.157mil","2989.173mil","B","180.00","CAP_0402"
"C12","CAPC0402(1005)60_N","1043.307mil","2538.387mil","1043.307mil","2538.387mil","1043.307mil","2520.671mil","B","90.00","CAP_0402"
