Object Kind,X1,Y1,Name,Pin Designator,Pin Type,Description,Width,Componenet Designator,Super Logic Region
Pin,40,0,Reset,6,Input,,,,
Pin,40,-10,VBUS,7,Input,,,,
Pin,40,-20,DSR,8,Input,,,,
Pin,40,-30,CTS,21,Input,,,,
Pin,40,-40,WAKE,22,Input,,,,
Pin,40,-50,RxD,23,Input,,,,
Pin,40,-60,NC,9,NC,,,,
Pin,40,-70,NC,10,NC,,,,
Pin,40,-80,NC,11,NC,,,,
Pin,40,-90,NC,12,NC,,,,
Pin,40,-100,NC,17,NC,,,,
Pin,40,-110,NC,18,NC,,,,
Pin,40,-120,NC,19,NC,,,,
Pin,40,-130,NC,20,NC,,,,
Pin,40,-140,NC,25,NC,,,,
Pin,40,-150,Tx_LED,2,Output,,,,
Pin,40,-160,Suspend,3,Output,,,,
Pin,40,-170,TxD,4,Output,,,,
Pin,40,-180,DTR,5,Output,,,,
Pin,40,-190,RTS,24,Output,,,,
Pin,40,-200,VCFG,26,Output,,,,
Pin,40,-210,Rx_LED,27,Output,,,,
Pin,40,-220,GND,1,Power,,,,
Pin,40,-230,GND,13,Power,,,,
Pin,40,-240,VDD,16,Power,,,,
Pin,40,-250,VDD,28,Power,,,,
Pin,40,-260,D+,14,I/O,,,,
Pin,40,-270,D–,15,I/O,,,,
