Object Kind,X1,Y1,Name,Pin Designator,Pin Type,Bank,Width,Componenet Designator,Super Logic Region
Pin,40,0,AGC_DIS,6,PASSIVE,0,,,
Pin,40,-10,CLK_OUT,9,OUTPUT,,,,
Pin,40,-20,FREF0,12,INPUT,,,,
Pin,40,-30,FREF1,13,INPUT,,,,
Pin,40,-40,FREF2,14,INPUT,,,,
Pin,40,-50,GND,25,POWER,,,,
Pin,40,-60,LNA_IN,3,INPUT,,,,
Pin,40,-70,LNA_OUT,24,OUTPUT,,,,
Pin,40,-80,MAG,11,OUTPUT,,,,
Pin,40,-90,MIX_IN,21,INPUT,,,,
Pin,40,-100,OSC_EN,19,INPUT,,,,
Pin,40,-110,RVI,20,PASSIVE,,,,
Pin,40,-120,RX_EN,23,INPUT,,,,
Pin,40,-130,SIGN,10,OUTPUT,,,,
Pin,40,-140,VAGC,5,PASSIVE,,,,
Pin,40,-150,VCC,22,POWER,,,,
Pin,40,-160,VCC_AGC,2,POWER,,,,
Pin,40,-170,VCC_LNA,1,POWER,,,,
Pin,40,-180,VDD_FSE,4,PASSIVE,,,,
Pin,40,-190,VDDN,8,POWER,,,,
Pin,40,-200,VDDQ,17,POWER,,,,
Pin,40,-210,VSSN,7,POWER,,,,
Pin,40,-220,VTUNE,18,I/O,,,,
Pin,40,-230,XTAL1,15,INPUT,,,,
Pin,40,-240,XTAL2,16,INPUT,,,,
