Object Kind,X1,Y1,Name,Pin Designator,Pin Type,Description,Width,Componenet Designator,Super Logic Region,,,Pin No ,Pin Name ,Type 
PIN,40,600,VREFAD ,38,I/O,,,,,,,1,PVDDAD33A ,pads supply 
PIN,40,590,XRESAD ,39,I/O,,,,,,,2,RXD11 ,out cmos 
PIN,40,580,TXININ ,51,I/O,,,,,,,3,RXD10 ,out cmos 
PIN,40,570,TXINIP ,52,I/O,,,,,,,4,RXD9 ,out cmos 
PIN,40,560,TXINQP ,54,I/O,,,,,,,5,RXD8 ,out cmos 
PIN,40,550,TXINQN ,56,I/O,,,,,,,6,RXD7 ,out cmos 
PIN,40,540,TXVTUNE ,57,I/O,,,,,,,7,PVDDVGG ,esd supply 
PIN,40,530,TXCPOUT ,64,I/O,,,,,,,8,RXD5 ,out cmos 
PIN,40,520,RXCPOUT ,80,I/O,,,,,,,9,RXD6 ,out cmos 
PIN,40,510,RXVTUNE ,87,I/O,,,,,,,10,RXD3 ,out cmos 
PIN,40,500,XRES12k ,89,I/O,,,,,,,11,RXD4 ,out cmos 
PIN,40,490,RXOUTQP ,113,I/O,,,,,,,12,PVDDAD33B ,pads supply 
PIN,40,480,RXOUTQN ,114,I/O,,,,,,,13,RXD2 ,out cmos 
PIN,40,470,RXOUTIN ,115,I/O,,,,,,,14,RXD1 ,out cmos 
PIN,40,460,RXOUTIP ,116,I/O,,,,,,,15,RXD0 ,out cmos 
PIN,40,450,SDIO ,69,I/O,,,,,,,16,RX_IQ_SEL ,out cmos 
PIN,40,440,IEXMIX1P ,92,INPUT,,,,,,,17,RX_CLK ,in cmos 
PIN,40,430,IEXMIX1N ,94,INPUT,,,,,,,18,PVDDAD33C ,pads supply 
PIN,40,420,RXIN1P ,96,INPUT,,,,,,,19,TX_CLK ,in cmos 
PIN,40,410,RXIN1EP ,97,INPUT,,,,,,,20,TX_IQ_SEL ,in cmos 
PIN,40,400,RXIN1N ,98,INPUT,,,,,,,21,TXD0 ,in cmos 
PIN,40,390,RXIN1EN ,99,INPUT,,,,,,,22,TXD1 ,in cmos 
PIN,40,380,RXIN2P ,100,INPUT,,,,,,,23,TXD2 ,in cmos 
PIN,40,370,RXIN2N ,102,INPUT,,,,,,,24,TXD3 ,in cmos 
PIN,40,360,IEXMIX2P ,104,INPUT,,,,,,,25,TXD4 ,in cmos 
PIN,40,350,IEXMIX2N ,106,INPUT,,,,,,,26,TXD5 ,in cmos 
PIN,40,340,RXIN3P ,108,INPUT,,,,,,,27,TXD6 ,in cmos 
PIN,40,330,RXIN3N ,110,INPUT,,,,,,,28,TXD7 ,in cmos 
PIN,40,320,RX_CLK ,17,INPUT,,,,,,,29,TXD8 ,in cmos 
PIN,40,310,TX_CLK ,19,INPUT,,,,,,,30,TXD9 ,in cmos 
PIN,40,300,TX_IQ_SEL ,20,INPUT,,,,,,,31,TXD10 ,in cmos 
PIN,40,290,TXD0 ,21,INPUT,,,,,,,32,TXD11 ,in cmos 
PIN,40,280,TXD1 ,22,INPUT,,,,,,,33,RDVDD18 ,digital supply 
PIN,40,270,TXD2 ,23,INPUT,,,,,,,34,PVDDAD33D ,pads supply 
PIN,40,260,TXD3 ,24,INPUT,,,,,,,35,RAVDD18 ,analogue supply 
PIN,40,250,TXD4 ,25,INPUT,,,,,,,36,TDVDD18 ,digital supply 
PIN,40,240,TXD5 ,26,INPUT,,,,,,,37,TAVDD33 ,analogue supply 
PIN,40,230,TXD6 ,27,INPUT,,,,,,,38,VREFAD ,in/out 
PIN,40,220,TXD7 ,28,INPUT,,,,,,,39,XRESAD ,in/out 
PIN,40,210,TXD8 ,29,INPUT,,,,,,,40,RX_CLK_OUT ,out cmos 
PIN,40,200,TXD9 ,30,INPUT,,,,,,,41,PLLCLKOUT ,out cmos 
PIN,40,190,TXD10 ,31,INPUT,,,,,,,42,ATP ,out 
PIN,40,180,TXD11 ,32,INPUT,,,,,,,43,TXVCCLPF33 ,analogue supply 
PIN,40,170,TXEN ,66,INPUT,,,,,,,44,TXOUT2N ,out 
PIN,40,160,SEN ,67,INPUT,,,,,,,45,TXVCCMIX33 ,analogue supply 
PIN,40,150,SCLK ,70,INPUT,,,,,,,46,TXOUT2P ,out 
PIN,40,140,RESET ,75,INPUT,,,,,,,47,TXPVDD33 ,esd supply 
PIN,40,130,RXEN ,76,INPUT,,,,,,,48,TXOUT1P ,out 
PIN,40,120,PLLCLK ,71,INPUT,,,,,,,49,TXVCCDRV33 ,analogue supply 
PIN,40,110,ATP ,42,OUTPUT,,,,,,,50,TXOUT1N ,out 
PIN,40,100,TXOUT2N ,44,OUTPUT,,,,,,,51,TXININ ,in/out 
PIN,40,90,TXOUT2P ,46,OUTPUT,,,,,,,52,TXINIP ,in/out 
PIN,40,80,TXOUT1P ,48,OUTPUT,,,,,,,53,UNUSED ,Connect to ground 
PIN,40,70,TXOUT1N ,50,OUTPUT,,,,,,,54,TXINQP ,in/out 
PIN,40,60,OEXLNA1P ,91,OUTPUT,,,,,,,55,UNUSED ,Connect to ground 
PIN,40,50,OEXLNA1N ,95,OUTPUT,,,,,,,56,TXINQN ,in/out 
PIN,40,40,OEXLNA2P ,103,OUTPUT,,,,,,,57,TXVTUNE ,in/out 
PIN,40,30,OEXLNA2N ,105,OUTPUT,,,,,,,58,TXPVDDPLL33A ,esd supply 
PIN,40,20,RXD11 ,2,OUTPUT,,,,,,,59,TXVCCVCO33 ,analogue supply 
PIN,40,10,RXD10 ,3,OUTPUT,,,,,,,60,TXVDDVCO18 ,analogue supply 
PIN,40,0,RXD9 ,4,OUTPUT,,,,,,,61,TXVCCPLL18 ,digital supply 
PIN,40,-10,RXD8 ,5,OUTPUT,,,,,,,62,TXPVDDPLL33B ,esd supply 
PIN,40,-20,RXD7 ,6,OUTPUT,,,,,,,63,TXVCCCHP33 ,analogue supply 
PIN,40,-30,RXD5 ,8,OUTPUT,,,,,,,64,TXCPOUT ,in/out 
PIN,40,-40,RXD6 ,9,OUTPUT,,,,,,,65,TSTD_out1 ,out cmos 
PIN,40,-50,RXD3 ,10,OUTPUT,,,,,,,66,TXEN ,in cmos 
PIN,40,-60,RXD4 ,11,OUTPUT,,,,,,,67,SEN ,in cmos 
PIN,40,-70,RXD2 ,13,OUTPUT,,,,,,,68,SDO ,out cmos 
PIN,40,-80,RXD1 ,14,OUTPUT,,,,,,,69,SDIO ,in/out cmos 
PIN,40,-90,RXD0 ,15,OUTPUT,,,,,,,70,SCLK ,in cmos 
PIN,40,-100,RX_IQ_SEL ,16,OUTPUT,,,,,,,71,PLLCLK ,"in, cmos or clipped sine "
PIN,40,-110,RX_CLK_OUT ,40,OUTPUT,,,,,,,72,TRXVDDDSM18 ,digital supply 
PIN,40,-120,PLLCLKOUT ,41,OUTPUT,,,,,,,73,VSPI18 ,digital supply 
PIN,40,-130,TSTD_out1 ,65,OUTPUT,,,,,,,74,PVDDSPI33 ,esd supply 
PIN,40,-140,SDO ,68,OUTPUT,,,,,,,75,RESET ,in cmos 
PIN,40,-150,TSTD_out2 ,77,OUTPUT,,,,,,,76,RXEN ,in cmos 
PIN,40,-160,RAVDD18 ,35,POWER,,,,,,,77,TSTD_out2 ,out cmos 
PIN,40,-170,TAVDD33 ,37,POWER,,,,,,,78,RXVCCCHP33 ,analogue supply 
PIN,40,-180,TXVCCLPF33 ,43,POWER,,,,,,,79,RXVCCLOB33 ,analogue supply 
PIN,40,-190,TXVCCMIX33 ,45,POWER,,,,,,,80,RXCPOUT ,in/out 
PIN,40,-200,TXVCCDRV33 ,49,POWER,,,,,,,81,RXPVDDPLL33B ,esd supply 
PIN,40,-210,TXVCCVCO33 ,59,POWER,,,,,,,82,RXVCCVCO33 ,analogue supply 
PIN,40,-220,TXVDDVCO18 ,60,POWER,,,,,,,83,RXVCCPLL18 ,digital supply 
PIN,40,-230,TXVCCCHP33 ,63,POWER,,,,,,,84,RXVDDVCO18 ,analogue supply 
PIN,40,-240,RXVCCCHP33 ,78,POWER,,,,,,,85,RXVCCPLL33 ,analogue supply 
PIN,40,-250,RXVCCLOB33 ,79,POWER,,,,,,,86,RXPVDDPLL33A ,esd supply 
PIN,40,-260,RXVCCVCO33 ,82,POWER,,,,,,,87,RXVTUNE ,in/out 
PIN,40,-270,RXVDDVCO18 ,84,POWER,,,,,,,88,UNUSED ,Connect to ground 
PIN,40,-280,RXVCCPLL33 ,85,POWER,,,,,,,89,XRES12k ,in/out 
PIN,40,-290,RXVCCMIX33 ,90,POWER,,,,,,,90,RXVCCMIX33 ,analogue supply 
PIN,40,-300,RXVCCLNA33 ,101,POWER,,,,,,,91,OEXLNA1P ,out 
PIN,40,-310,RXVCCTIA33 ,109,POWER,,,,,,,92,IEXMIX1P ,in 
PIN,40,-320,RXVCCLPF33 ,111,POWER,,,,,,,93,UNUSED ,Connect to ground 
PIN,40,-330,RXVCCVGA33 ,112,POWER,,,,,,,94,IEXMIX1N ,in 
PIN,40,-340,UNUSED ,53,POWER,,,,,,,95,OEXLNA1N ,out 
PIN,40,-350,UNUSED ,55,POWER,,,,,,,96,RXIN1P ,in 
PIN,40,-360,UNUSED ,88,POWER,,,,,,,97,RXIN1EP ,in 
PIN,40,-370,UNUSED ,93,POWER,,,,,,,98,RXIN1N ,in 
PIN,40,-380,RDVDD18 ,33,POWER,,,,,,,99,RXIN1EN ,in 
PIN,40,-390,TDVDD18 ,36,POWER,,,,,,,100,RXIN2P ,in 
PIN,40,-400,TXVCCPLL18 ,61,POWER,,,,,,,101,RXVCCLNA33 ,analogue supply 
PIN,40,-410,TRXVDDDSM18 ,72,POWER,,,,,,,102,RXIN2N ,in 
PIN,40,-420,VSPI18 ,73,POWER,,,,,,,103,OEXLNA2P ,out 
PIN,40,-430,RXVCCPLL18 ,83,POWER,,,,,,,104,IEXMIX2P ,in 
PIN,40,-440,PVDDVGG ,7,POWER,,,,,,,105,OEXLNA2N ,out 
PIN,40,-450,TXPVDD33 ,47,POWER,,,,,,,106,IEXMIX2N ,in 
PIN,40,-460,TXPVDDPLL33A ,58,POWER,,,,,,,107,RXPVDD33 ,esd supply 
PIN,40,-470,TXPVDDPLL33B ,62,POWER,,,,,,,108,RXIN3P ,in 
PIN,40,-480,PVDDSPI33 ,74,POWER,,,,,,,109,RXVCCTIA33 ,analogue supply 
PIN,40,-490,RXPVDDPLL33B ,81,POWER,,,,,,,110,RXIN3N ,in 
PIN,40,-500,RXPVDDPLL33A ,86,POWER,,,,,,,111,RXVCCLPF33 ,analogue supply 
PIN,40,-510,RXPVDD33 ,107,POWER,,,,,,,112,RXVCCVGA33 ,analogue supply 
PIN,40,-520,GLOBAL GND ,117,POWER,,,,,,,113,RXOUTQP ,in/out 
PIN,40,-530,PVDDAD33A ,1,POWER,,,,,,,114,RXOUTQN ,in/out 
PIN,40,-540,PVDDAD33B ,12,POWER,,,,,,,115,RXOUTIN ,in/out 
PIN,40,-550,PVDDAD33C ,18,POWER,,,,,,,116,RXOUTIP ,in/out 
PIN,40,-560,PVDDAD33D ,34,POWER,,,,,,,117,GLOBAL GND ,GLOBAL GND 
