Object Kind,X1,Y1,Name,Pin Designator,Pin Type,Bank,Width,Componenet Designator,Super Logic Region
Pin,40,0,TRD_1P,11,I/O,0,,,
Pin,40,-10,TRCT_1,12,I/O,,,,
Pin,40,-20,TRD_1N,10,I/O,,,,
Pin,40,-30,TRD_2P,4,I/O,,,,
Pin,40,-40,TRCT_2,6,I/O,,,,
Pin,40,-50,TRD_2N,5,I/O,,,,
Pin,40,-60,TRD_3P,3,I/O,,,,
Pin,40,-70,TRCT_3,1,I/O,,,,
Pin,40,-80,TRD_3N,2,I/O,,,,
Pin,40,-90,TRD_4P,8,I/O,,,,
Pin,40,-100,TRCT_4,7,I/O,,,,
Pin,40,-110,TRD_4N,9,I/O,,,,
Pin,40,-120,LD_1P,14,PASSIVE,,,,
Pin,40,-130,LD_1N,12,PASSIVE,,,,
Pin,40,-140,LD_2P,16,PASSIVE,,,,
Pin,40,-150,LD_2N,15,PASSIVE,,,,
Pin,40,-160,SHD,M1,POWER,,,,
Pin,40,-170,SHD,M2,POWER,,,,
