Object Kind,X1,Y1,Name,Pin Designator,Pin Type,Description,Width,Componenet Designator,Super Logic Region
Pin,40,0,GND,C3,POWER,,,,
Pin,40,-10,GND,D3,POWER,,,,
Pin,40,-20,DAT2A,A1,I/O,,,,
Pin,40,-30,DAT3A,B1,I/O,,,,
Pin,40,-40,CMDA,C1,I/O,,,,
Pin,40,-50,DAT0A,D1,I/O,,,,
Pin,40,-60,DAT1A,E1,I/O,,,,
Pin,40,-70,DAT2B1,E2,I/O,,,,
Pin,40,-80,DAT3B0,A3,I/O,,,,
Pin,40,-90,DAT2B0,B3,I/O,,,,
Pin,40,-100,DAT3B1,E3,I/O,,,,
Pin,40,-110,CMDB0,A4,I/O,,,,
Pin,40,-120,DAT1B1,D4,I/O,,,,
Pin,40,-130,CMDB1,E4,I/O,,,,
Pin,40,-140,DAT0B0,B5,I/O,,,,
Pin,40,-150,DAT1B0,C5,I/O,,,,
Pin,40,-160,DAT0B1,D5,I/O,,,,
Pin,40,-170,SEL,A2,INPUT,,,,
Pin,40,-180,CLKA,D2,INPUT,,,,
Pin,40,-190,CLKB0,A5,Output,,,,
Pin,40,-200,CLKB1,E5,Output,,,,
Pin,40,-210,VCCA,C2,POWER,,,,
Pin,40,-220,VCCB0,B4,POWER,,,,
Pin,40,-230,VCCB1,C4,POWER,,,,
Pin,40,-240,NC,B2,,,,,
