Object Kind,X1,Y1,Name,Pin Designator,Pin Type,Bank,Width,Componenet Designator,Super Logic Region
Pin,40,0,CFGBVS_0,T13,I/O,0,,,
Pin,40,-10,DONE_0,T12,I/O,0,,,
Pin,40,-20,DXN_0,N12,I/O,0,,,
Pin,40,-30,DXP_0,N11,I/O,0,,,
Pin,40,-40,INIT_B_0,T14,I/O,0,,,
Pin,40,-50,PROGRAM_B_0,T11,I/O,0,,,
Pin,40,-60,TCK_0,G11,INPUT,0,,,
Pin,40,-70,TDI_0,H13,INPUT,0,,,
Pin,40,-80,TMS_0,G12,INPUT,0,,,
Pin,40,-90,TDO_0,G14,OUTPUT,0,,,
Pin,40,-100,GNDADC_0,K12,POWER,0,,,
Pin,40,-110,RSVDGND,G10,POWER,0,,,
Pin,40,-120,RSVDVCC,T10,POWER,0,,,
Pin,40,-130,RSVDVCC,T8,POWER,0,,,
Pin,40,-140,RSVDVCC,T7,POWER,0,,,
Pin,40,-150,VCCADC_0,K11,POWER,0,,,
Pin,40,-160,VCCBATT_0,G9,POWER,0,,,
Pin,40,-170,VN_0,M12,POWER,0,,,
Pin,40,-180,VP_0,L11,POWER,0,,,
Pin,40,-190,VREFN_0,L12,POWER,0,,,
Pin,40,-200,VREFP_0,M11,POWER,0,,,
,,,,,,,,,
Object Kind,X1,Y1,Name,Pin Designator,Pin Type,Bank,,,
Pin,40,0,IO_0_13,R7,I/O,13,,,
Pin,40,-10,IO_25_13,U7,I/O,13,,,
Pin,40,-20,IO_L10N_T1_13,Y10,I/O,13,,,
Pin,40,-30,IO_L10P_T1_13,Y11,I/O,13,,,
Pin,40,-40,IO_L11N_T1_SRCC_13,AA8,I/O,13,,,
Pin,40,-50,IO_L11P_T1_SRCC_13,AA9,I/O,13,,,
Pin,40,-60,IO_L12N_T1_MRCC_13,Y8,I/O,13,,,
Pin,40,-70,IO_L12P_T1_MRCC_13,Y9,I/O,13,,,
Pin,40,-80,IO_L13N_T2_MRCC_13,Y5,I/O,13,,,
Pin,40,-90,IO_L13P_T2_MRCC_13,Y6,I/O,13,,,
Pin,40,-100,IO_L14N_T2_SRCC_13,AA6,I/O,13,,,
Pin,40,-110,IO_L14P_T2_SRCC_13,AA7,I/O,13,,,
Pin,40,-120,IO_L15N_T2_DQS_13,AB1,I/O,13,,,
Pin,40,-130,IO_L15P_T2_DQS_13,AB2,I/O,13,,,
Pin,40,-140,IO_L16N_T2_13,AB4,I/O,13,,,
Pin,40,-150,IO_L16P_T2_13,AB5,I/O,13,,,
Pin,40,-160,IO_L17N_T2_13,AB6,I/O,13,,,
Pin,40,-170,IO_L17P_T2_13,AB7,I/O,13,,,
Pin,40,-180,IO_L18N_T2_13,AA4,I/O,13,,,
Pin,40,-190,IO_L18P_T2_13,Y4,I/O,13,,,
Pin,40,-200,IO_L19N_T3_VREF_13,T6,I/O,13,,,
Pin,40,-210,IO_L19P_T3_13,R6,I/O,13,,,
Pin,40,-220,IO_L1N_T0_13,V9,I/O,13,,,
Pin,40,-230,IO_L1P_T0_13,V10,I/O,13,,,
Pin,40,-240,IO_L20N_T3_13,U4,I/O,13,,,
Pin,40,-250,IO_L20P_T3_13,T4,I/O,13,,,
Pin,40,-260,IO_L21N_T3_DQS_13,V4,I/O,13,,,
Pin,40,-270,IO_L21P_T3_DQS_13,V5,I/O,13,,,
Pin,40,-280,IO_L22N_T3_13,U5,I/O,13,,,
Pin,40,-290,IO_L22P_T3_13,U6,I/O,13,,,
Pin,40,-300,IO_L23N_T3_13,W7,I/O,13,,,
Pin,40,-310,IO_L23P_T3_13,V7,I/O,13,,,
Pin,40,-320,IO_L24N_T3_13,W5,I/O,13,,,
Pin,40,-330,IO_L24P_T3_13,W6,I/O,13,,,
Pin,40,-340,IO_L2N_T0_13,W8,I/O,13,,,
Pin,40,-350,IO_L2P_T0_13,V8,I/O,13,,,
Pin,40,-360,IO_L3N_T0_DQS_13,W10,I/O,13,,,
Pin,40,-370,IO_L3P_T0_DQS_13,W11,I/O,13,,,
Pin,40,-380,IO_L4N_T0_13,W12,I/O,13,,,
Pin,40,-390,IO_L4P_T0_13,V12,I/O,13,,,
Pin,40,-400,IO_L5N_T0_13,U11,I/O,13,,,
Pin,40,-410,IO_L5P_T0_13,U12,I/O,13,,,
Pin,40,-420,IO_L6N_T0_VREF_13,U9,I/O,13,,,
Pin,40,-430,IO_L6P_T0_13,U10,I/O,13,,,
Pin,40,-440,IO_L7N_T1_13,AB12,I/O,13,,,
Pin,40,-450,IO_L7P_T1_13,AA12,I/O,13,,,
Pin,40,-460,IO_L8N_T1_13,AB11,I/O,13,,,
Pin,40,-470,IO_L8P_T1_13,AA11,I/O,13,,,
Pin,40,-480,IO_L9N_T1_DQS_13,AB9,I/O,13,,,
Pin,40,-490,IO_L9P_T1_DQS_13,AB10,I/O,13,,,
,,,,,,,,,
Object Kind,X1,Y1,Name,Pin Designator,Pin Type,Bank,,,
Pin,40,0,IO_0_33,U19,I/O,33,,,
Pin,40,-10,IO_25_33,U14,I/O,33,,,
Pin,40,-20,IO_L10N_T1_33,AB20,I/O,33,,,
Pin,40,-30,IO_L10P_T1_33,AB19,I/O,33,,,
Pin,40,-40,IO_L11N_T1_SRCC_33,AA19,I/O,33,,,
Pin,40,-50,IO_L11P_T1_SRCC_33,Y19,I/O,33,,,
Pin,40,-60,IO_L12N_T1_MRCC_33,AA18,I/O,33,,,
Pin,40,-70,IO_L12P_T1_MRCC_33,Y18,I/O,33,,,
Pin,40,-80,IO_L13N_T2_MRCC_33,W18,I/O,33,,,
Pin,40,-90,IO_L13P_T2_MRCC_33,W17,I/O,33,,,
Pin,40,-100,IO_L14N_T2_SRCC_33,Y16,I/O,33,,,
Pin,40,-110,IO_L14P_T2_SRCC_33,W16,I/O,33,,,
Pin,40,-120,IO_L15N_T2_DQS_33,U16,I/O,33,,,
Pin,40,-130,IO_L15P_T2_DQS_33,U15,I/O,33,,,
Pin,40,-140,IO_L16N_T2_33,V17,I/O,33,,,
Pin,40,-150,IO_L16P_T2_33,U17,I/O,33,,,
Pin,40,-160,IO_L17N_T2_33,AB17,I/O,33,,,
Pin,40,-170,IO_L17P_T2_33,AA17,I/O,33,,,
Pin,40,-180,IO_L18N_T2_33,AB16,I/O,33,,,
Pin,40,-190,IO_L18P_T2_33,AA16,I/O,33,,,
Pin,40,-200,IO_L19N_T3_VREF_33,V15,I/O,33,,,
Pin,40,-210,IO_L19P_T3_33,V14,I/O,33,,,
Pin,40,-220,IO_L1N_T0_33,U21,I/O,33,,,
Pin,40,-230,IO_L1P_T0_33,T21,I/O,33,,,
Pin,40,-240,IO_L20N_T3_33,W13,I/O,33,,,
Pin,40,-250,IO_L20P_T3_33,V13,I/O,33,,,
Pin,40,-260,IO_L21N_T3_DQS_33,Y15,I/O,33,,,
Pin,40,-270,IO_L21P_T3_DQS_33,W15,I/O,33,,,
Pin,40,-280,IO_L22N_T3_33,AA14,I/O,33,,,
Pin,40,-290,IO_L22P_T3_33,Y14,I/O,33,,,
