s,DDR3_A0_U5.N3_NoTerm,DDR3_A0_U4.N3_NoTerm,DDR3_A0_U2.M4_NoTerm
0,0.241387724876404,0.241458684206009,0.241417989134789
4.70122760165559E-11,0.241387724876404,0.241458684206009,0.241417989134789
9.40245520331118E-11,0.241396635770798,0.241444185376167,0.241417989134789
1.41036834988562E-10,0.241418987512589,0.241411924362183,0.241417199373245
1.88049104066224E-10,0.241438925266266,0.241385564208031,0.241416409611702
2.35061387021673E-10,0.241439759731293,0.241373777389526,0.241412118077278
2.82073669977123E-10,0.241416692733765,0.241373762488365,0.241407826542854
3.29085925176997E-10,0.241385146975517,0.241386383771896,0.241403982043266
3.76098208132447E-10,0.241361066699028,0.241403192281723,0.241400137543678
4.23110491087897E-10,0.241353884339333,0.241410940885544,0.241401240229607
4.70122774043347E-10,0.241364300251007,0.241404816508293,0.241402342915535
5.17135056998796E-10,0.241386547684669,0.241389781236649,0.24140277504921
5.64147339954246E-10,0.241409286856651,0.241375952959061,0.241403207182884
6.11159622909696E-10,0.241420164704323,0.241370752453804,0.241399958729744
6.58171850353995E-10,0.241414040327072,0.241376236081123,0.241396725177765
7.05184133309444E-10,0.241396516561508,0.241389885544777,0.24139478802681
7.52196416264894E-10,0.241378098726273,0.241404131054878,0.241392835974693
7.99208699220344E-10,0.241369098424911,0.241411551833153,0.241393104195595
8.46220982175794E-10,0.241374239325523,0.241409152746201,0.241393372416496
8.93233265131244E-10,0.241389527916908,0.241398602724075,0.241394490003586
9.40245548086693E-10,0.241406232118607,0.241386324167252,0.241395607590675
9.87257831042143E-10,0.241415813565254,0.241379603743553,0.241395711898804
1.03427011399759E-9,0.241413965821266,0.24138206243515,0.241395801305771
1.08128239695304E-9,0.241402640938759,0.241391941905022,0.24139466881752
1.12829467990849E-9,0.241388350725174,0.241403192281723,0.241393521428108
1.17530696286394E-9,0.241379052400589,0.241409704089165,0.241393715143204
1.22231924581939E-9,0.241379305720329,0.241408199071884,0.241393893957138
1.26933141775254E-9,0.241387888789177,0.241399869322777,0.241394594311714
1.31634370070799E-9,0.241400435566902,0.241389840841293,0.24139529466629
1.36335598366344E-9,0.241409167647362,0.241383329033852,0.24139578640461
1.41036826661889E-9,0.241409748792648,0.24138355255127,0.241396278142929
1.45738054957434E-9,0.241401925683022,0.241389945149422,0.241395264863968
1.50439283252979E-9,0.241391986608505,0.241399213671684,0.241394236683846
1.55140511548524E-9,0.241384148597717,0.241405546665192,0.241394430398941
1.59841739844069E-9,0.241382777690887,0.241405755281448,0.241394609212875
1.64542968139614E-9,0.241388067603111,0.241399928927422,0.24139478802681
1.69244196435159E-9,0.241396769881248,0.241392195224762,0.241394951939583
1.73945424730704E-9,0.24140377342701,0.241386219859123,0.241395235061646
1.78646653026249E-9,0.241405412554741,0.241385281085968,0.241395533084869
1.83347881321794E-9,0.241401344537735,0.241390749812126,0.241395220160484
1.88049109617339E-9,0.241394221782684,0.241396859288216,0.241394907236099
1.92750326810653E-9,0.241388216614723,0.241402223706245,0.241395249962807
1.97451566208429E-9,0.241386398673058,0.241403177380562,0.241395607590675
2.02152783401743E-9,0.241389274597168,0.241398558020592,0.298955917358398
2.06854022799519E-9,0.241395086050034,0.241393774747849,0.356516510248184
2.11555239992833E-9,0.241400241851807,0.241389274597168,0.532527148723602
2.16256479390609E-9,0.24162432551384,0.241610035300255,0.70853865146637
2.20957696583923E-9,0.244579136371613,0.244563356041908,0.903777539730072
2.25658935981699E-9,0.253354161977768,0.253337234258652,1.09901738166809
2.30360153175013E-9,0.281553685665131,0.281504392623901,1.19416427612305
2.35061392572788E-9,0.339958995580673,0.339867025613785,1.28931164741516
2.39762609766103E-9,0.437541425228119,0.437387555837631,1.30201005935669
