s,DDR3_A0_U5.N3_NoTerm,DDR3_A0_U4.N3_NoTerm,DDR3_A0_U2.M4_NoTerm
0,0.241387724876404,0.241458684206009,0.241417989134789
4.70122760165559E-11,0.241387724876404,0.241458684206009,0.241417989134789
9.40245520331118E-11,0.241396710276604,0.241444051265717,0.241417989134789
1.41036834988562E-10,0.241419211030006,0.241411611437798,0.241417199373245
1.88049104066224E-10,0.241439118981361,0.24138531088829,0.241416409611702
2.35061387021673E-10,0.241439640522003,0.241373792290688,0.241412118077278
2.82073669977123E-10,0.24141651391983,0.241374090313911,0.241407826542854
3.29085925176997E-10,0.241384461522102,0.241386532783508,0.241403982043266
3.76098208132447E-10,0.241360515356064,0.241403594613075,0.241400137543678
4.23110491087897E-10,0.241353750228882,0.241411060094833,0.241401225328445
4.70122774043347E-10,0.241364672780037,0.241404488682747,0.241402328014374
5.17135056998796E-10,0.24138730764389,0.241389110684395,0.241402760148048
5.64147339954246E-10,0.24141001701355,0.241375356912613,0.241403192281723
6.11159622909696E-10,0.241420358419418,0.241370648145676,0.241399928927422
6.58171850353995E-10,0.241413548588753,0.241376742720604,0.241396680474281
7.05184133309444E-10,0.241395592689514,0.24139079451561,0.241394743323326
7.52196416264894E-10,0.241377279162407,0.241404935717583,0.241392806172371
7.99208699220344E-10,0.241368889808655,0.241411745548248,0.241393089294434
8.46220982175794E-10,0.241374835371971,0.241408601403236,0.241393387317657
8.93233265131244E-10,0.241390630602837,0.241397574543953,0.241394490003586
9.40245548086693E-10,0.241407230496407,0.24138543009758,0.241395577788353
9.87257831042143E-10,0.241416126489639,0.241379380226135,0.241395682096481
1.03427011399759E-9,0.24141338467598,0.241382658481598,0.241395801305771
1.08128239695304E-9,0.241401478648186,0.24139304459095,0.241394639015198
1.12829467990849E-9,0.241387262940407,0.241404190659523,0.241393491625786
1.17530696286394E-9,0.241378650069237,0.241410002112389,0.241393700242043
1.22231924581939E-9,0.241379827260971,0.241407603025436,0.241393908858299
1.26933141775254E-9,0.241389334201813,0.241398692131042,0.241394579410553
1.31634370070799E-9,0.241401597857475,0.241388723254204,0.241395264863968
1.36335598366344E-9,0.241409569978714,0.241382971405983,0.241395771503448
1.41036826661889E-9,0.241409122943878,0.241384163498878,0.241396278142929
1.45738054957434E-9,0.241401836276054,0.241391435265541,0.241395741701126
1.50439283252979E-9,0.241390958428383,0.241400420665741,0.241395190358162
1.55140511548524E-9,0.241383522748947,0.241406142711639,0.241394892334938
1.59841739844069E-9,0.241382852196693,0.241405576467514,0.241394594311714
1.64542968139614E-9,0.241389632225037,0.241399958729744,0.241395264863968
1.69244196435159E-9,0.241398006677628,0.241391316056252,0.241395935416222
1.73945424730704E-9,0.241404712200165,0.241385772824287,0.241395935416222
1.78646653026249E-9,0.241405785083771,0.241385743021965,0.241395935416222
1.83347881321794E-9,0.241401061415672,0.241390898823738,0.241395711898804
1.88049109617339E-9,0.241393521428108,0.24139803647995,0.241395503282547
1.92750326810653E-9,0.241387575864792,0.241403326392174,0.241395443677902
1.97451566208429E-9,0.241386339068413,0.241404011845589,0.241395384073257
2.02152783401743E-9,0.241390079259872,0.241399139165878,0.298956274986267
2.06854022799519E-9,0.241396367549896,0.241393461823463,0.356517434120178
2.11555239992833E-9,0.241401508450508,0.241388723254204,0.53252762556076
2.16256479390609E-9,0.241627261042595,0.241611868143082,0.70853865146637
2.20957696583923E-9,0.244606778025627,0.24459120631218,0.903777480125427
2.25658935981699E-9,0.253438830375671,0.253423273563385,1.0990172624588
2.30360153175013E-9,0.281826257705688,0.281778365373611,1.19416439533234
2.35061392572788E-9,0.340541124343872,0.340449869632721,1.28931188583374
2.39762609766103E-9,0.438535183668137,0.438380926847458,1.30201268196106
