s,DDR3_A1_U5.P7_NoTerm,DDR3_A1_U4.P7_NoTerm,DDR3_A1_U2.M5_NoTerm
0,0.241387724876404,0.241458684206009,0.241417363286018
4.58862323138298E-11,0.241387724876404,0.241458684206009,0.241417363286018
9.17724646276596E-11,0.241395547986031,0.241445913910866,0.241417363286018
1.37658703880383E-10,0.241416320204735,0.241414606571198,0.241415992379189
1.83544929255319E-10,0.241434052586555,0.24138417840004,0.241414621472359
2.29431168508043E-10,0.241433933377266,0.241367518901825,0.241410821676254
2.75317407760767E-10,0.241416856646538,0.241366937756538,0.241407006978989
3.2120364701349E-10,0.241389721632004,0.241382211446762,0.241404816508293
3.67089858510639E-10,0.241365522146225,0.241401076316833,0.241402640938759
4.12976097763362E-10,0.241355493664742,0.241412788629532,0.241402924060822
4.58862337016086E-10,0.241362869739532,0.241411119699478,0.241403207182884
5.0474857626881E-10,0.241382747888565,0.241397768259048,0.241401612758636
5.50634815521533E-10,0.241404235363007,0.241380408406258,0.24140003323555
5.96521054774257E-10,0.24141663312912,0.241368770599365,0.241397947072983
6.42407294026981E-10,0.241415023803711,0.241369277238846,0.241395860910416
6.88293533279705E-10,0.241401702165604,0.241380855441093,0.241394937038422
7.34179717021277E-10,0.241384774446487,0.24139866232872,0.241394013166428
7.80065956274001E-10,0.241373404860497,0.241412401199341,0.241394430398941
8.25952195526725E-10,0.241373240947723,0.241415798664093,0.241394832730293
8.71838434779448E-10,0.241384208202362,0.241408005356789,0.241394519805908
9.17724674032172E-10,0.241399720311165,0.241393938660622,0.241394221782684
9.63610968796047E-10,0.241412043571472,0.241381540894508,0.241394549608231
1.00949715253762E-9,0.241415202617645,0.241377308964729,0.241394877433777
1.05538333627919E-9,0.24140827357769,0.241382926702499,0.241394266486168
1.10126963104307E-9,0.241395443677902,0.241394862532616,0.241393655538559
1.14715581478464E-9,0.241383627057076,0.241406515240669,0.24139441549778
1.19304210954851E-9,0.241378858685493,0.241411909461021,0.241395175457001
1.23892829329009E-9,0.241383045911789,0.241408616304398,0.241395354270935
1.28481458805396E-9,0.241393283009529,0.241398707032204,0.241395547986031
1.33070077179553E-9,0.241403847932816,0.241387650370598,0.241395235061646
1.37658706655941E-9,0.24140939116478,0.241381302475929,0.24139492213726
1.42247325030098E-9,0.24140739440918,0.241382628679276,0.241395369172096
1.46835943404255E-9,0.241399317979813,0.241390407085419,0.241395816206932
1.51424572880643E-9,0.24138967692852,0.241400137543678,0.241395175457001
1.560131912548E-9,0.241383418440819,0.24140664935112,0.241394549608231
1.60601820731188E-9,0.241383582353592,0.241406783461571,0.241395026445389
1.65190439105345E-9,0.241389527916908,0.241400808095932,0.241395503282547
1.69779068581732E-9,0.241398245096207,0.241392552852631,0.24139492213726
1.7436768695589E-9,0.241404637694359,0.241385996341705,0.241394355893135
1.78956316432277E-9,0.241405621170998,0.241384461522102,0.24139478802681
1.83544934806434E-9,0.241400003433228,0.241388544440269,0.241395220160484
1.88133553180592E-9,0.241393715143204,0.241395771503448,0.241394847631454
1.92722193759209E-9,0.24138779938221,0.24140191078186,0.241394460201263
1.97310812133367E-9,0.241385951638222,0.241403803229332,0.250846832990646
2.01899430507524E-9,0.241388842463493,0.241401061415672,0.260299205780029
2.06488048881681E-9,0.24139466881752,0.241395398974419,0.37261426448822
2.11076667255838E-9,0.241400226950645,0.241389781236649,0.484929293394089
2.15665307834456E-9,0.242051005363464,0.242033824324608,0.695437967777252
2.20253926208613E-9,0.244645982980728,0.244628146290779,0.905945599079132
2.24842544582771E-9,0.256689131259918,0.256658583879471,1.06381094455719
2.29431162956928E-9,0.291771531105042,0.291706532239914,1.22167634963989
2.34019803535546E-9,0.360768646001816,0.360652536153793,1.27079319953918
