s,DDR3_A13_U5.T3_NoTerm,DDR3_A13_U4.T3_NoTerm,DDR3_A13_U2.F4_NoTerm
0,1.02807359780854E-6,1.02074545793585E-6,1.01262469343055E-6
5.74281698584311E-11,1.02807359780854E-6,1.02074545793585E-6,1.01262469343055E-6
1.14856339716862E-10,1.02591206996294E-6,1.02420108305523E-6,1.01262469343055E-6
1.72284506105846E-10,1.02487092590309E-6,1.02449098449142E-6,1.01290015663835E-6
2.29712679433725E-10,1.0199912594544E-6,1.02626995612809E-6,1.01317561984615E-6
2.87140838883815E-10,1.01956186426833E-6,1.02124022305361E-6,1.01377770533873E-6
3.44569012211693E-10,1.01542661923304E-6,1.02443198102264E-6,1.0143797908313E-6
4.01997185539571E-10,1.0198996278632E-6,1.0141070561076E-6,1.01486375569948E-6
4.59425358867449E-10,1.01316425116238E-6,1.0242314374409E-6,1.0153478342545E-6
5.16853504439752E-10,1.02181547845248E-6,1.00189004115236E-6,1.01552529940818E-6
5.7428167776763E-10,1.00689146620425E-6,1.03133641005115E-6,1.01570276456187E-6
6.31709851095508E-10,1.0235222589472E-6,9.79881860985188E-7,1.01554519460478E-6
6.89138024423386E-10,9.95703885564581E-7,1.05816252471413E-6,1.0153876246477E-6
7.46566197751264E-10,1.02833030268812E-6,9.31265731196618E-7,1.01529747098539E-6
8.03994371079142E-10,9.82342612587672E-7,1.13228463760606E-6,1.01520731732307E-6
8.6142254440702E-10,1.03672152818035E-6,8.09479786312295E-7,1.01484386050288E-6
9.18850717734898E-10,9.74849740487116E-7,1.32634022520506E-6,1.01448040368268E-6
9.76278946573927E-10,1.03247350580205E-6,4.94365281156206E-7,1.01437115063163E-6
1.0337070088795E-9,1.00732631835854E-6,1.83480972282268E-6,1.01426201126742E-6
1.09113518220738E-9,9.42577059959149E-7,1.10860673885327E-6,1.01434125099331E-6
1.14856335553526E-9,1.21643006423255E-6,1.73722753515904E-6,1.01442060440604E-6
1.20599152886314E-9,1.18630543965992E-6,1.97645277921765E-7,1.0166380661758E-6
1.26341970219102E-9,1.60627007517178E-6,6.80878486036818E-7,1.01885552794556E-6
1.32084787551889E-9,8.22397907995764E-7,2.83146420088087E-7,1.05816639006662E-6
1.37827604884677E-9,1.40515567181865E-6,1.58522243509651E-6,1.09747725218767E-6
1.43570422217465E-9,-1.68371698805458E-7,1.40583267693728E-6,1.03488798686158E-6
1.49313239550253E-9,4.14230441947439E-7,1.74214017079066E-6,9.72298721535481E-7
1.55056056883041E-9,5.66082860586903E-7,6.39687812054035E-7,1.01805949270783E-6
1.60798874215828E-9,1.42182057061291E-6,1.2430146512088E-7,1.06382026388019E-6
1.66541691548616E-9,6.38780306871922E-7,4.12491971246709E-7,9.67765345194493E-7
1.72284508881404E-9,1.87379453109315E-6,5.62975337459193E-8,8.71710426508798E-7
1.78027326214192E-9,1.10670237063459E-6,1.09598636299779E-6,9.6180917807942E-7
1.8377014354698E-9,1.35929087718978E-6,1.45708827403723E-6,1.05190792965004E-6
1.89512960879767E-9,1.57893865093683E-7,1.46913976095675E-6,8.86431848812208E-7
1.95255789314785E-9,6.57798295833345E-7,1.76676155660971E-6,7.2095548375728E-7
2.00998595545343E-9,4.95877827688673E-7,1.04272146472795E-6,0.0288971867412329
2.06741401775901E-9,1.80829283635831E-6,1.48815036027372E-6,0.0577936507761478
2.12484230210919E-9,1.92532343135099E-6,1.46686019775188E-7,0.205954149365425
2.18227036441476E-9,1.74016042819858E-6,6.01468059358012E-7,0.354114085435867
2.23969864876494E-9,0.00741925043985248,0.00593073619529605,0.545290529727936
2.29712671107052E-9,0.0308681204915047,0.0260530896484852,0.736466288566589
2.3545549954207E-9,0.0950053855776787,0.0822783932089806,0.844415187835693
2.41198305772627E-9,0.233215108513832,0.20724418759346,0.952363610267639
2.46941134207646E-9,0.434960603713989,0.401037037372589,0.959856927394867
2.52683940438203E-9,0.676694095134735,0.646558701992035,0.96735018491745
2.58426768873221E-9,0.934179246425629,0.92428183555603,0.942809462547302
2.64169575103779E-9,1.17035496234894,1.18846929073334,0.918268799781799
2.69912403538797E-9,1.37772953510284,1.41385698318481,0.919357478618622
2.75655209769354E-9,1.55159962177277,1.58808827400208,0.920446157455444
2.81398038204372E-9,1.69262647628784,1.71029734611511,0.995343387126923
2.8714084443493E-9,1.80567800998688,1.80112266540527,1.07024037837982
2.92883672869948E-9,1.8778510093689,1.86493074893951,1.18375241756439
2.98626479100506E-9,1.89516484737396,1.89481270313263,1.29726409912109
3.04369307535524E-9,1.87042009830475,1.8921971321106,1.32094538211823
3.10112113766081E-9,1.82374548912048,1.85792112350464,1.34462666511536
3.15854942201099E-9,1.76913452148438,1.79348409175873,1.26393163204193
3.21597748431657E-9,1.71828615665436,1.71639931201935,1.18323695659637
3.27340576866675E-9,1.65118658542633,1.62989437580109,1.07902657985687
3.33083383097232E-9,1.53715038299561,1.520627617836,0.974816620349884
3.3882621153225E-9,1.37187242507935,1.38268220424652,0.88723748922348
3.44569017762808E-9,1.15876722335815,1.19939804077148,0.7996586561203
