s,DDR3_A3_U4.N2_NoTerm,DDR3_A3_U5.N2_NoTerm,DDR3_A3_U2.L4_NoTerm
0,1.02845581295696E-6,1.02074545793585E-6,1.01262469343055E-6
1.42866647331874E-11,1.02844489902054E-6,1.02074545793585E-6,1.01262469343055E-6
2.85733294663748E-11,1.02840010640648E-6,1.02074545793585E-6,1.01262469343055E-6
4.28599933322005E-11,1.0283504252584E-6,1.02074545793585E-6,1.01262469343055E-6
5.71466589327496E-11,1.02828244052944E-6,1.02074545793585E-6,1.01262469343055E-6
7.14333245332988E-11,1.02813226021681E-6,1.02082219655131E-6,1.01262469343055E-6
8.57199866644009E-11,1.0276596640324E-6,1.02089893516677E-6,1.01262469343055E-6
1.00006655734397E-10,1.0259592500006E-6,1.02097567378223E-6,1.01262469343055E-6
1.14293317865499E-10,1.01963598808652E-6,1.02105241239769E-6,1.01262469343055E-6
1.28579979996601E-10,9.96017433863017E-7,1.02173555660556E-6,1.01263003671193E-6
1.42866649066598E-10,9.07533831195906E-7,1.02241870081343E-6,1.01263549368014E-6
1.57153318136594E-10,5.76281081521302E-7,1.02310173133446E-6,1.01264095064835E-6
1.71439973328802E-10,1.73961313976179E-6,1.02378487554233E-6,1.01264629392972E-6
1.85726642398798E-10,1.44590671879996E-6,1.02394221812574E-6,1.01265175089793E-6
2.00013311468794E-10,6.21067385964125E-7,1.02409967439598E-6,1.0126570941793E-6
2.14299966661002E-10,6.2161700498109E-7,1.02425701697939E-6,1.01266243746068E-6
2.28586635730998E-10,5.07158688378695E-7,1.0244143595628E-6,1.01266789442889E-6
2.42873304800995E-10,-4.32916600345834E-8,1.06340382899361E-6,1.01290561360656E-6
2.57159959993203E-10,-4.50887398528721E-8,1.10239329842443E-6,1.0131432190974E-6
2.71446642940987E-10,-4.0027239833762E-7,1.14138276785525E-6,1.01338093827508E-6
2.85733298133195E-10,1.38104962843499E-6,1.18037223728606E-6,1.01361854376592E-6
3.00019953325403E-10,1.17651632081106E-6,1.11020153781283E-6,1.01385614925675E-6
3.14306636273187E-10,6.21864273853134E-7,1.04003072465275E-6,1.01409386843443E-6
3.28593291465396E-10,6.24552967565251E-7,9.69860138866352E-7,1.01433158761211E-6
3.42879946657604E-10,6.73570241360721E-7,8.99689439393114E-7,1.01456919310294E-6
3.57166629605388E-10,7.75760724991414E-7,9.30220664940862E-7,1.01678404007544E-6
3.71453284797596E-10,9.64199102782004E-7,9.60751776801771E-7,1.01899877336109E-6
3.85739939989804E-10,1.43099236993294E-6,9.912829455061E-7,1.02121362033358E-6
4.00026622937588E-10,1.99026516156664E-7,1.02181411421043E-6,1.02342846730608E-6
4.14313278129796E-10,6.57546763704886E-7,9.04154092040699E-7,1.02564320059173E-6
4.28599933322005E-10,-3.20127895747646E-7,7.86494069870969E-7,1.02785804756422E-6
4.42886616269789E-10,2.0072624806744E-7,6.68833820327563E-7,1.03007278084988E-6
4.57173271461997E-10,-7.69994073834823E-7,5.51173798157834E-7,1.03228762782237E-6
4.71459926654205E-10,-1.04924220423186E-8,6.46038301965746E-7,1.02360979781224E-6
4.85746609601989E-10,2.43194492322019E-10,7.40902976303914E-7,1.01493208148895E-6
5.00033292549773E-10,-4.34996053400027E-7,8.35767650642083E-7,1.00625425147882E-6
5.14319919986406E-10,-4.24957022460148E-7,9.30631983919739E-7,9.97576535155531E-7
5.2860660293419E-10,8.12928647064837E-7,5.60274543204287E-7,9.88898705145402E-7
5.42893285881973E-10,1.19099684070534E-6,1.8991708827798E-7,9.80220875135274E-7
5.57179913318606E-10,2.24882114707725E-6,-1.80438917141146E-7,9.71543158811983E-7
5.7146659626639E-10,2.24818609240174E-6,-5.50796357856598E-7,9.62865328801854E-7
5.85753279214174E-10,2.39937821788772E-6,-6.09452513344877E-7,9.48188755955925E-7
6.00039906650807E-10,3.12528868562367E-6,-6.68108384616062E-7,9.33512296796835E-7
6.14326589598591E-10,3.13121017825324E-6,-7.26764483260922E-7,9.18835723950906E-7
6.28613272546374E-10,3.61085290023766E-6,-7.85420638749201E-7,9.04159207948396E-7
6.42899899983007E-10,3.60911440111522E-6,-4.66491513861911E-7,8.89482748789305E-7
6.57186582930791E-10,4.08758387493435E-6,-1.47561138419405E-7,8.74806175943377E-7
6.71473265878575E-10,4.0337972677662E-6,1.713692370231E-7,8.60129603097448E-7
6.85759893315208E-10,2.12308282243612E-6,4.90298361910391E-7,8.45453143938357E-7
7.00046576262991E-10,1.315427539339E-6,9.19840829283203E-7,8.44037970182399E-7
7.14333259210775E-10,1.31158481053717E-6,1.34938329665601E-6,8.4262279642644E-7
7.28619886647408E-10,1.86359147846815E-6,1.77892411556968E-6,8.412076795139E-7
7.42906569595192E-10,1.83539350473438E-6,2.20846663978591E-6,8.39792505757941E-7
7.57193252542976E-10,2.7224007226323E-7,2.55265922532999E-6,8.38377332001983E-7
7.71479879979609E-10,-2.79537630376581E-7,2.89685044663202E-6,8.36962215089443E-7
7.85766562927392E-10,6.29711621513707E-7,3.24104303217609E-6,8.35547041333484E-7
8.00053245875176E-10,-1.60347013888895E-7,3.58523561772017E-6,8.34131867577526E-7
8.14339873311809E-10,-1.46579949955594E-7,3.63978392670106E-6,8.66283983214089E-7
8.28626556259593E-10,3.70352978507071E-7,3.69433223568194E-6,8.9843621253749E-7
8.42913239207377E-10,4.24008817390131E-7,3.74888054466282E-6,9.30588441860891E-7
8.57199866644009E-10,7.64032563438377E-7,3.80342885364371E-6,9.62740614340873E-7
8.71486549591793E-10,-4.20886408392107E-7,3.5124301120959E-6,9.94892843664275E-7
8.85773232539577E-10,-5.20463627751155E-9,3.22143137054809E-6,1.02704507298768E-6
9.00059915487361E-10,1.07598668819264E-6,2.93043262900028E-6,1.05919730231108E-6
9.14346542923994E-10,1.09895734112797E-6,2.63943502432085E-6,1.09134941794764E-6
9.28633225871778E-10,9.55469317887037E-7,2.33981108976877E-6,1.10297980882024E-6
9.4291985330841E-10,2.19766457121295E-6,2.04018829208508E-6,1.114610086006E-6
9.57206536256194E-10,2.46799595515768E-6,1.74056424384617E-6,1.12624036319176E-6
9.71493219203978E-10,3.08934659187798E-6,1.44094019560725E-6,1.13787075406435E-6
9.85779902151762E-10,3.10776840706239E-6,1.19182016078412E-6,1.14950103125011E-6
1.00006658509955E-9,2.91848868982925E-6,9.42700182804401E-7,1.16113142212271E-6
1.01435315702503E-9,4.05277114623459E-6,6.93582137500925E-7,1.17276158562163E-6
1.02863983997281E-9,3.96093309973367E-6,4.44462131099499E-7,1.18439197649423E-6
1.0429265229206E-9,3.76987009076402E-6,7.27583767456963E-7,1.19638400519761E-6
1.05721320586838E-9,3.3621863622102E-6,1.01070543223614E-6,1.208376033901E-6
1.07149988881616E-9,4.0568525037088E-6,1.29382704017189E-6,1.22036817629123E-6
1.08578657176395E-9,3.42187922797166E-6,1.57694864810765E-6,1.23236020499462E-6
1.10007314368943E-9,4.3616964831017E-6,1.58564625962754E-6,1.24435212001117E-6
1.11435982663721E-9,3.31308547174558E-6,1.59434398483427E-6,1.2563442624014E-6
1.128646509585E-9,3.25349469676439E-6,1.60304159635416E-6,1.26833629110479E-6
1.14293319253278E-9,1.67847701959545E-6,1.61173932156089E-6,1.28032831980818E-6
1.15721987548056E-9,9.82115125225391E-7,1.90847595149535E-6,1.2767253565471E-6
1.17150655842835E-9,9.82993924480979E-7,2.20521246774297E-6,1.27312239328603E-6
1.18579313035383E-9,1.47245498283155E-6,2.50194693762751E-6,1.26951943002496E-6
1.20007981330161E-9,1.46244440202281E-6,2.79868345387513E-6,1.26591646676388E-6
1.2143664962494E-9,2.27744592962154E-7,2.86232716462109E-6,1.26231338981597E-6
1.22865317919718E-9,-1.92214045569017E-7,2.92597064799338E-6,1.2587104265549E-6
1.24293986214496E-9,-1.31126103042334E-6,2.98961413136567E-6,1.25510746329383E-6
1.25722654509275E-9,-1.28439205582254E-6,3.05325784211163E-6,1.25150450003275E-6
1.27151322804053E-9,-1.22859353268723E-6,2.77897333944566E-6,1.31305216655164E-6
1.28579979996601E-9,-1.1748488759622E-6,2.50469111051643E-6,1.37459949201002E-6
1.3000864829138E-9,-1.28451949876762E-6,2.23040660785045E-6,1.43614715852891E-6
1.31437316586158E-9,-2.74949805145752E-8,1.95612210518448E-6,1.49769493873464E-6
1.32865984880937E-9,1.53085977672163E-7,1.55101611198916E-6,1.55924260525353E-6
1.34294653175715E-9,6.81908829847089E-7,1.14591011879384E-6,1.62079027177242E-6
1.35723321470493E-9,-4.32547324180632E-7,7.40804125598515E-7,1.68233805197815E-6
1.37151978663042E-9,4.24722344405382E-7,3.35701315634651E-7,1.74388526374969E-6
1.3858064695782E-9,4.68765250616343E-7,-5.98513452132465E-8,1.67713187693153E-6
1.40009315252598E-9,1.76065123014268E-6,-4.55404006061144E-7,1.61037837642652E-6
1.41437983547377E-9,2.18310765376373E-6,-8.50956666909042E-7,1.54362498960836E-6
1.42866651842155E-9,1.35648417654011E-6,-1.24650932775694E-6,1.47687148910336E-6
1.44295320136933E-9,1.85655244422378E-6,-1.40490374178626E-6,1.4101181022852E-6
1.45723977329482E-9,8.3757362290271E-7,-1.5632970189472E-6,1.34336517021438E-6
1.4715264562426E-9,1.41935981901042E-6,-1.72169143297651E-6,1.27661166970938E-6
1.48581313919038E-9,2.93108598725667E-7,-1.88008584700583E-6,1.20985828289122E-6
1.50009982213817E-9,1.05043056919385E-6,-1.56989722199796E-6,1.23935558349331E-6
1.51438650508595E-9,9.76369733507454E-7,-1.25970859699009E-6,1.26885288409539E-6
1.52867318803374E-9,4.97249516229203E-7,-9.49519915138808E-7,1.29835018469748E-6
1.54295975995922E-9,1.70891394191131E-6,-6.39333677554532E-7,1.3278472579259E-6
1.557246442907E-9,9.70172550296411E-7,-5.77689320380159E-7,1.35734455852798E-6
1.57153312585478E-9,9.53559094796219E-7,-5.16044906362367E-7,1.38684185913007E-6
1.58581980880257E-9,1.46855882121599E-6,-4.54400549187994E-7,1.41633915973216E-6
1.60010649175035E-9,1.45304227316956E-6,-3.92756192013621E-7,1.44583646033425E-6
1.61439317469814E-9,-9.74785336893547E-8,-3.11550934384286E-7,1.3159733498469E-6
1.62867974662362E-9,-6.06730964136659E-7,-2.30346273610849E-7,1.18611126254109E-6
1.6429664295714E-9,1.73794930447002E-7,-1.49141001770658E-7,1.05624815205374E-6
1.65725311251919E-9,-6.13109762070962E-7,-6.79357370358957E-8,9.26384984722972E-7
1.67153979546697E-9,-6.24194797183009E-7,1.82274703774965E-7,7.96521874235623E-7
1.68582647841475E-9,-1.35373340981459E-7,4.32485137480398E-7,6.66658763748273E-7
1.70011316136254E-9,-1.20850273788164E-7,6.82695599607541E-7,5.36795596417505E-7
1.71439973328802E-9,4.874048045167E-7,9.32904072215024E-7,4.06933509111695E-7
1.7286864162358E-9,5.01036822697642E-7,1.17601121019106E-6,4.8250035433739E-7
1.74297309918359E-9,-7.44349847536796E-7,1.41911846185394E-6,5.58067142719665E-7
1.75725978213137E-9,-9.66975562732841E-7,1.66222559982998E-6,6.33633987945359E-7
1.77154646507915E-9,-1.66900827025529E-6,1.90533273780602E-6,7.09200776327634E-7
1.78583314802694E-9,-1.65084077252686E-6,1.64006735303701E-6,7.84767621553328E-7
1.80011983097472E-9,-1.77920162514056E-6,1.37480185458116E-6,8.60334409935604E-7
1.8144064029002E-9,-3.39699397500226E-7,1.10953851617523E-6,9.3590062988369E-7
1.82869308584799E-9,-2.29781242921945E-8,8.44273074562807E-7,1.01146747510938E-6
1.84297976879577E-9,8.13096221463638E-7,9.56454755396408E-7,9.478327456236E-7
1.85726645174356E-9,8.40229631648981E-7,1.06863637938659E-6,8.84198072981235E-7
1.87155313469134E-9,8.35029084100825E-7,1.18081800337677E-6,8.20563343495451E-7
1.88583970661682E-9,6.42857230559457E-7,1.29299871787225E-6,7.56929125600436E-7
1.90012650058691E-9,2.13366456591757E-6,1.0253504569846E-6,6.93293941367301E-7
1.91441307251239E-9,2.29024726650096E-6,7.5770634566652E-7,6.29659723472287E-7
1.92869986648248E-9,2.69980205303E-6,4.90058027935447E-7,5.66024539239152E-7
1.94298643840796E-9,1.37670645017351E-6,2.22413930828225E-7,5.02390321344137E-7
1.95727301033344E-9,1.6426577076345E-6,2.74913219300288E-7,0.00499149458482862
1.97155980430352E-9,2.47661114372022E-6,3.27413346212779E-7,0.00998256355524063
1.98584637622901E-9,2.46284503191418E-6,3.79912648895697E-7,0.0149735556915402
2.00013317019909E-9,2.79758592114376E-6,4.32412747386479E-7,0.0199646260589361
2.01441974212457E-9,9.8294549388811E-7,4.83040196286311E-7,0.0249556172639132
2.02870631405005E-9,1.07253447367839E-6,5.33667673607852E-7,0.0299466103315353
2.04299310802014E-9,1.36939718231588E-6,5.84295889893838E-7,0.0349376797676086
2.05727967994562E-9,1.20713906426317E-7,6.34923367215379E-7,0.0399286709725857
2.07156647391571E-9,2.83146391666378E-7,8.14841200735827E-7,0.0747355371713638
2.08585304584119E-9,7.68556901675765E-7,9.94756192085333E-7,0.109541863203049
2.10013983981128E-9,-7.57427187636495E-7,1.17467413929262E-6,0.144348725676537
2.11442641173676E-9,-3.24311884014605E-7,1.35458913064213E-6,0.179155051708221
2.12871298366224E-9,-1.28909198338079E-6,1.21789480544976E-6,0.213961377739906
