s,DDR3_A3_U4.N2_NoTerm,DDR3_A3_U5.N2_NoTerm,DDR3_A3_U2.L4_NoTerm
0,1.02845581295696E-6,1.02074545793585E-6,1.01262469343055E-6
1.42866647331874E-11,1.0284447853337E-6,1.02074545793585E-6,1.01262469343055E-6
2.85733294663748E-11,1.02839942428545E-6,1.02074545793585E-6,1.01262469343055E-6
4.28599933322005E-11,1.02834906101634E-6,1.02074545793585E-6,1.01262469343055E-6
5.71466589327496E-11,1.0282805078532E-6,1.02074545793585E-6,1.01262469343055E-6
7.14333245332988E-11,1.02812896329851E-6,1.02082287867233E-6,1.01262469343055E-6
8.57199866644009E-11,1.02765261544846E-6,1.02090018572198E-6,1.01262469343055E-6
1.00006655734397E-10,1.02594015061186E-6,1.02097760645847E-6,1.01262469343055E-6
1.14293317865499E-10,1.01957800779928E-6,1.02105491350812E-6,1.01262469343055E-6
1.28579979996601E-10,9.95835989670013E-7,1.02174362837104E-6,1.01263003671193E-6
1.42866649066598E-10,9.06973241399101E-7,1.0224324569208E-6,1.01263549368014E-6
1.57153318136594E-10,5.74618411519623E-7,1.02312117178371E-6,1.01264095064835E-6
1.71439973328802E-10,1.73959097082843E-6,1.02380988664663E-6,1.01264629392972E-6
1.85726642398798E-10,1.44120986078633E-6,1.02396961665363E-6,1.01265175089793E-6
2.00013311468794E-10,6.04019305683323E-7,1.02412923297379E-6,1.0126570941793E-6
2.14299966661002E-10,6.04588024089026E-7,1.02428884929395E-6,1.01266243746068E-6
2.28586635730998E-10,4.83039798382379E-7,1.02444857930095E-6,1.01266789442889E-6
2.42873304800995E-10,-1.00210336029249E-7,1.06386403331271E-6,1.0129057272934E-6
2.57159959993203E-10,-1.02030647042284E-7,1.10327937363763E-6,1.01314344647108E-6
2.71446642940987E-10,-4.80855874229746E-7,1.14269482764939E-6,1.01338127933559E-6
2.85733298133195E-10,1.41778787110525E-6,1.18211016797432E-6,1.0136191122001E-6
3.00019953325403E-10,1.19539106435695E-6,1.10959854282555E-6,1.01385683137778E-6
3.14306636273187E-10,5.91661262205889E-7,1.03708691767679E-6,1.01409466424229E-6
3.28593291465396E-10,5.94600749082019E-7,9.64575292528025E-7,1.01433238341997E-6
3.42879946657604E-10,6.35916080682364E-7,8.9206372422268E-7,1.01457021628448E-6
3.57166629605388E-10,6.97216592016048E-7,9.23007860365033E-7,1.01668058505311E-6
3.71453284797596E-10,7.18132127985882E-7,9.53951939663966E-7,1.0187908401349E-6
3.85739939989804E-10,5.39622305950616E-7,9.848960189629E-7,1.02090109521669E-6
4.00026622937588E-10,1.60606532517704E-6,1.01584021194867E-6,1.02301146398531E-6
4.14313278129796E-10,1.49350785250135E-6,8.94817958396743E-7,1.02512183275394E-6
4.28599933322005E-10,1.21874745673267E-6,7.73795704844815E-7,1.02723208783573E-6
4.42886616269789E-10,4.13997895520879E-7,6.52773223919212E-7,1.02934245660435E-6
4.57173271461997E-10,4.38791971646424E-7,5.31750970367284E-7,1.03145271168614E-6
4.71459926654205E-10,3.72972266404759E-7,7.05891920915747E-7,1.02261049050867E-6
4.85746609601989E-10,-1.2472283117404E-7,8.80033212524722E-7,1.01376815564436E-6
5.00033292549773E-10,-1.21932842489514E-7,1.0541745041337E-6,1.00492593446688E-6
5.14319919986406E-10,-6.25197003500944E-7,1.22831511362165E-6,9.96083713289408E-7
5.2860660293419E-10,-6.382076094269E-7,9.20754303024296E-7,9.87241492111934E-7
5.42893285881973E-10,-1.32853722334403E-6,6.13193492426944E-7,9.78399157247622E-7
5.57179913318606E-10,-1.34154686293186E-6,3.05633875541389E-7,9.69556936070148E-7
5.7146659626639E-10,4.83377498028403E-8,-1.92693150324885E-9,9.60714714892674E-7
5.85753279214174E-10,4.4706374069392E-7,5.38442535003014E-8,9.64598825703433E-7
6.00039906650807E-10,1.53667838276306E-6,1.09615221788317E-7,9.68482936514192E-7
6.14326589598591E-10,1.55121222178423E-6,1.65386410344581E-7,9.72367161011789E-7
6.28613272546374E-10,1.66331506079587E-6,2.21157591795418E-7,9.76251271822548E-7
6.42899899983007E-10,2.07034440791176E-6,2.19821139069154E-8,9.80135382633307E-7
6.57186582930791E-10,7.65942388625263E-7,-1.77194138473169E-7,9.84019607130904E-7
6.71473265878575E-10,1.11814972569846E-6,-3.76370394405967E-7,9.87903717941663E-7
6.85759893315208E-10,2.13673661164648E-6,-5.75545868741756E-7,9.91787828752422E-7
7.00046576262991E-10,2.1238181489025E-6,-1.81261569309754E-7,9.58846385401557E-7
7.14333259210775E-10,2.35788957070326E-6,2.13022730122248E-7,9.25904885207274E-7
7.28619886647408E-10,9.11791119051486E-7,6.07305480571085E-7,8.92963498699828E-7
7.42906569595192E-10,8.93220828857011E-7,1.00158979421394E-6,8.60022055348963E-7
7.57193252542976E-10,8.9082777776639E-7,1.00463864782796E-6,8.2708055515468E-7
7.71479879979609E-10,1.04125422240031E-6,1.00768750144198E-6,7.94139168647234E-7
7.85766562927392E-10,1.74366311966878E-6,1.01073646874283E-6,7.6119772529637E-7
8.00053245875176E-10,1.74523086116096E-6,1.01378532235685E-6,7.28256225102086E-7
8.14339873311809E-10,2.15969339478761E-6,1.02715853245172E-6,7.5193463544565E-7
8.28626556259593E-10,2.14277270060848E-6,1.04053174254659E-6,7.75613102632633E-7
8.42913239207377E-10,2.70273403657484E-6,1.05390495264146E-6,7.99291569819616E-7
8.57199866644009E-10,2.7389448860049E-6,1.06727816273633E-6,8.2296998016318E-7
8.71486549591793E-10,1.35595064421068E-6,1.18363686851808E-6,8.46648447350162E-7
8.85773232539577E-10,1.1314245966787E-6,1.29999568798667E-6,8.70326914537145E-7
9.00059915487361E-10,4.74979486853044E-7,1.41635439376842E-6,8.94005381724128E-7
9.14346542923994E-10,4.57504825135402E-7,1.53271275848965E-6,9.17683792067692E-7
9.28633225871778E-10,3.00194130886666E-7,1.66379004440387E-6,9.02781550848886E-7
9.4291985330841E-10,-3.1792021104593E-7,1.79486687557073E-6,8.87879366473499E-7
9.57206536256194E-10,-3.28031632079728E-7,1.92594416148495E-6,8.72977068411274E-7
9.71493219203978E-10,-5.76269826524367E-7,2.05702144739917E-6,8.58074827192468E-7
9.85779902151762E-10,6.02487716605538E-7,1.98546536012145E-6,8.43172585973662E-7
1.00006658509955E-9,5.11081736931374E-7,1.91390904547006E-6,8.28270287911437E-7
1.01435315702503E-9,1.94141634324296E-7,1.8423534129397E-6,8.13368160379468E-7
1.02863983997281E-9,1.68751307683124E-6,1.77079721197515E-6,7.98465919160662E-7
1.0429265229206E-9,1.60108993441099E-6,1.70177077052358E-6,8.64299636305077E-7
1.05721320586838E-9,1.28657291043055E-6,1.63274421538517E-6,9.30133353449492E-7
1.07149988881616E-9,2.36477785620082E-6,1.56371766024677E-6,9.95967070593906E-7
1.08578657176395E-9,2.09661152439367E-6,1.4946912187952E-6,1.06180084458174E-6
1.10007314368943E-9,1.31471426811913E-6,1.43974125421664E-6,1.12763393644855E-6
1.11435982663721E-9,1.3093947472953E-6,1.38479094857757E-6,1.19346771043638E-6
1.128646509585E-9,1.08697497580579E-6,1.32984052925167E-6,1.25930137073738E-6
1.14293319253278E-9,2.21142431655608E-6,1.2748902236126E-6,1.32513514472521E-6
1.15721987548056E-9,2.12236773222685E-6,1.39883093197568E-6,1.23321910905361E-6
1.17150655842835E-9,1.84240298040095E-6,1.52277164033876E-6,1.14130295969517E-6
1.18579313035383E-9,8.94161814812833E-7,1.64671143920714E-6,1.04938760614459E-6
1.20007981330161E-9,8.82397728219075E-7,1.77065214757022E-6,9.5747157047299E-7
1.2143664962494E-9,6.08145001024241E-7,1.61386435593158E-6,8.6555542111455E-7
1.22865317919718E-9,1.92640072782524E-6,1.45707656429295E-6,7.73639385442948E-7
1.24293986214496E-9,1.79387768639572E-6,1.30028877265431E-6,6.81723292927927E-7
1.25722654509275E-9,1.37740221362037E-6,1.14350098101568E-6,5.89807200412906E-7
1.27151322804053E-9,2.39684391090123E-6,1.23814788821619E-6,7.37989410026785E-7
1.28579979996601E-9,1.82239705281972E-6,1.33279399960884E-6,8.86170425928867E-7
1.3000864829138E-9,2.72970373771386E-6,1.42744079312251E-6,1.03435263554275E-6
1.31437316586158E-9,1.91716344488668E-6,1.52208770032303E-6,1.18253478831321E-6
1.32865984880937E-9,1.92682682609302E-6,1.26695374547126E-6,1.3307170547705E-6
1.34294653175715E-9,2.24520272240625E-6,1.01181967693265E-6,1.47889920754096E-6
