s,DDR3_A5_U5.P2_NoTerm,DDR3_A5_U4.P2_NoTerm,DDR3_A5_U2.K5_NoTerm
0,0.241387724876404,0.241458684206009,0.241417989134789
3.85669586544513E-11,0.241387724876404,0.241458684206009,0.241417989134789
7.71339173089025E-11,0.241389453411102,0.241454511880875,0.241417989134789
1.15700872493907E-10,0.241400942206383,0.241435408592224,0.241417929530144
1.54267834617805E-10,0.241425096988678,0.24140539765358,0.241417869925499
1.92834789802809E-10,0.241443455219269,0.241385355591774,0.241416811943054
2.31401744987814E-10,0.241444900631905,0.241376250982285,0.241415768861771
2.69968714050606E-10,0.241431266069412,0.241370692849159,0.24141052365303
3.0853566923561E-10,0.241403743624687,0.241375878453255,0.241405293345451
3.47102624420614E-10,0.241374686360359,0.241392239928246,0.241401746869087
3.85669579605619E-10,0.241356015205383,0.241407379508018,0.241398200392723
4.24236534790623E-10,0.241349428892136,0.241413742303848,0.241400241851807
4.62803489975627E-10,0.241355165839195,0.241410195827484,0.24140228331089
5.01370445160632E-10,0.241373330354691,0.241397306323051,0.241403505206108
5.39937428101211E-10,0.241397202014923,0.241381511092186,0.241404727101326
5.7850435553064E-10,0.241417601704597,0.241370961070061,0.241402953863144
6.1707133847122E-10,0.241427600383759,0.241368338465691,0.241401165723801
6.55638265900649E-10,0.241422444581985,0.241372659802437,0.241398259997368
6.94205248841229E-10,0.241404786705971,0.241383537650108,0.241395354270935
7.32772176270657E-10,0.241383835673332,0.241398125886917,0.241393506526947
7.71339159211237E-10,0.241367846727371,0.24141052365303,0.241391658782959
8.09906086640666E-10,0.241362124681473,0.241416350007057,0.241392269730568
8.48473069581246E-10,0.241368338465691,0.241413429379463,0.241392880678177
8.87039997010675E-10,0.241383880376816,0.24140290915966,0.241394713521004
9.25606979951255E-10,0.241402640938759,0.241389483213425,0.241396561264992
9.64173962891834E-10,0.241417646408081,0.241378545761108,0.241396769881248
1.00274089032126E-9,0.241423949599266,0.241374462842941,0.241396978497505
1.04130781775069E-9,0.241419702768326,0.241378828883171,0.241395443677902
1.07987485620242E-9,0.241406828165054,0.241389736533165,0.241393908858299
1.11844178363185E-9,0.24139030277729,0.241402491927147,0.24139329791069
1.15700871106128E-9,0.241376414895058,0.241412207484245,0.241392686963081
1.19557563849071E-9,0.241370499134064,0.241415619850159,0.241393193602562
1.23414267694244E-9,0.241374388337135,0.241411477327347,0.241393715143204
1.27270960437187E-9,0.241386145353317,0.241401523351669,0.241394817829132
1.3112765318013E-9,0.241400942206383,0.241389617323875,0.241395935416222
1.34984345923073E-9,0.241412922739983,0.241380155086517,0.24139641225338
1.38841049768246E-9,0.241417825222015,0.24137669801712,0.241396889090538
1.42697742511189E-9,0.241414159536362,0.241380482912064,0.241395801305771
1.46554435254131E-9,0.241403669118881,0.241389855742455,0.241394698619843
1.50411139099305E-9,0.241390556097031,0.241401076316833,0.241394475102425
1.54267831842247E-9,0.241379767656326,0.241409748792648,0.241394251585007
1.5812452458519E-9,0.241375207901001,0.241412684321404,0.241394579410553
1.61981217328133E-9,0.241378307342529,0.241408869624138,0.24139492213726
1.65837921173306E-9,0.241387605667114,0.241400003433228,0.24139492213726
1.69694613916249E-9,0.24139928817749,0.241389527916908,0.24139492213726
1.73551306659192E-9,0.241408780217171,0.241381332278252,0.241395562887192
1.77407999402135E-9,0.241412699222565,0.241378545761108,0.241396188735962
1.81264703247308E-9,0.241409882903099,0.241382136940956,0.241395980119705
