s,DDR3_A7_U5.R2_NoTerm,DDR3_A7_U4.R2_NoTerm,DDR3_A7_U2.J6_NoTerm
0,0.241387724876404,0.241458684206009,0.241417989134789
6.05246894269662E-11,0.241387724876404,0.241458684206009,0.241417989134789
1.21049378853932E-10,0.241412222385406,0.241423606872559,0.241417989134789
1.81574075219793E-10,0.24143822491169,0.241379499435425,0.241413339972496
2.42098757707865E-10,0.24143497645855,0.241361945867538,0.241408705711365
3.02623454073725E-10,0.241401076316833,0.241376146674156,0.241404980421066
3.63148150439585E-10,0.241360768675804,0.241406142711639,0.241401240229607
4.23672846805445E-10,0.241347715258598,0.241419777274132,0.241402208805084
4.8419751541573E-10,0.24137119948864,0.24140752851963,0.241403177380562
5.4472221178159E-10,0.241408854722977,0.241377323865891,0.24140103161335
6.0524690814745E-10,0.241427361965179,0.2413589656353,0.241398885846138
6.6577160451331E-10,0.241415217518806,0.24136982858181,0.241396397352219
7.2629630087917E-10,0.241382628679276,0.24140040576458,0.24139392375946
7.8682099724503E-10,0.241360738873482,0.241423159837723,0.241394340991974
8.4734569361089E-10,0.241368487477303,0.241420388221741,0.241394743323326
9.0787038997675E-10,0.241398572921753,0.241393983364105,0.241394683718681
9.68395030831459E-10,0.24142424762249,0.241369679570198,0.241394624114037
1.02891972719732E-9,0.241424724459648,0.24136883020401,0.241394519805908
1.08944442356318E-9,0.24139891564846,0.241392746567726,0.241394430398941
1.14996911992904E-9,0.241372227668762,0.241417601704597,0.24139466881752
1.2104938162949E-9,0.241366818547249,0.241423040628433,0.241394892334938
1.27101851266076E-9,0.241386771202087,0.24140365421772,0.241395086050034
1.33154320902662E-9,0.24141351878643,0.241378024220467,0.24139529466629
1.39206790539248E-9,0.241423785686493,0.241368114948273,0.241395205259323
1.45259260175834E-9,0.241408541798592,0.241382569074631,0.241395115852356
1.5131172981242E-9,0.241382569074631,0.241407707333565,0.241395205259323
1.57364199449006E-9,0.241368263959885,0.241421297192574,0.24139529466629
1.63416669085592E-9,0.24137806892395,0.241411343216896,0.241395279765129
1.69469138722178E-9,0.241402342915535,0.241387620568275,0.241395264863968
1.75521608358764E-9,0.241419538855553,0.241370916366577,0.241395398974419
1.8157407799535E-9,0.241414681077003,0.24137607216835,0.241395533084869
1.87626536529706E-9,0.241393014788628,0.241397693753242,0.241395249962807
1.93679006166292E-9,0.241373762488365,0.24141651391983,0.241394966840744
1.99731475802878E-9,0.241374045610428,0.241416051983833,0.292149305343628
2.05783945439464E-9,0.241392523050308,0.241397976875305,0.342903643846512
2.1183641507605E-9,0.241413116455078,0.241377383470535,0.552505791187286
2.17888884712636E-9,0.241417348384857,0.241373211145401,0.762107908725739
2.23941354349222E-9,0.256373792886734,0.256355315446854,0.987928748130798
2.29993823985808E-9,0.289209127426147,0.289227038621902,1.21374952793121
2.36046293622394E-9,0.37657704949379,0.37659364938736,1.26938390731812
2.4209876325898E-9,0.526071608066559,0.526054739952087,1.32501840591431
2.48151232895566E-9,0.704657435417175,0.704601228237152,1.29069888591766
2.54203702532152E-9,0.906748533248901,0.906693577766418,1.25637936592102
2.60256172168738E-9,1.06566917896271,1.06567370891571,1.20434713363647
2.66308641805324E-9,1.16675019264221,1.16682159900665,1.15231502056122
2.7236111144191E-9,1.23076999187469,1.23086857795715,1.12313222885132
2.78413581078496E-9,1.26025080680847,1.26030051708221,1.09394931793213
2.84466050715082E-9,1.28123712539673,1.28120541572571,1.11228108406067
2.90518520351668E-9,1.30074632167816,1.30066585540771,1.1306129693985
2.96570989988254E-9,1.30602705478668,1.30597400665283,1.1577467918396
3.0262345962484E-9,1.29515719413757,1.29518210887909,1.18488073348999
3.08675929261426E-9,1.27678787708282,1.27687191963196,1.1987898349762
3.14728398898012E-9,1.25159442424774,1.25166511535645,1.21269905567169
3.20780868534598E-9,1.23428976535797,1.23428380489349,1.22380983829498
3.26833338171184E-9,1.22816550731659,1.22808837890625,1.23492062091827
3.3288580780777E-9,1.22593688964844,1.22585427761078,1.24039340019226
3.38938277444356E-9,1.22657775878906,1.2265613079071,1.24586629867554
3.44990747080942E-9,1.22587847709656,1.22594022750854,1.24270963668823
3.51043216717528E-9,1.22252035140991,1.22260463237762,1.23955297470093
3.57095686354114E-9,1.22121429443359,1.2212461233139,1.23666477203369
3.631481559907E-9,1.22282195091248,1.22277474403381,1.23377668857574
3.69200625627286E-9,1.22569012641907,1.2256064414978,1.23341500759125
3.75253073059412E-9,1.22975397109985,1.2297078371048,1.23305332660675
3.81305564900458E-9,1.23212611675262,1.23215711116791,1.23185336589813
3.87358012332584E-9,1.2321412563324,1.23222041130066,1.2306535243988
3.9341050417363E-9,1.23177254199982,1.23182952404022,1.22988021373749
3.99462951605756E-9,1.23130679130554,1.23129272460938,1.22910702228546
4.05515443446802E-9,1.23139524459839,1.23132419586182,1.22979891300201
4.11567890878928E-9,1.2322701215744,1.23220610618591,1.23049080371857
4.17620382719974E-9,1.23268795013428,1.23268663883209,1.23085331916809
4.236728301521E-9,1.23242592811584,1.23248684406281,1.23121571540833
4.29725321993146E-9,1.23193597793579,1.23200404644012,1.23107755184174
4.35777769425272E-9,1.23124182224274,1.23125720024109,1.23093950748444
