s,DDR3_CLK0_N_DDR3_CLK0_P_U5.K7_NoTerm,DDR3_CLK0_N_DDR3_CLK0_P_U4.K7_NoTerm,DDR3_CLK0_N_DDR3_CLK0_P_U2.N5_NoTerm,DDR3_CLK0_N_DDR3_CLK0_P_U5.J7_NoTerm,DDR3_CLK0_N_DDR3_CLK0_P_U4.J7_NoTerm,DDR3_CLK0_N_DDR3_CLK0_P_U2.N4_NoTerm
0,2.16026273847092E-6,2.11602036870318E-6,1.99802229872148E-6,7.08225252310513E-6,7.08225252310513E-6,7.08225252310513E-6
3.94115434732001E-11,2.16026273847092E-6,2.11602036870318E-6,1.99802229872148E-6,7.08225252310513E-6,7.08225252310513E-6,7.08225252310513E-6
7.88230869464002E-11,2.16415969589434E-6,2.12456961889984E-6,1.99802229872148E-6,7.08815241523553E-6,7.08815241523553E-6,7.08225252310513E-6
1.182346304196E-10,2.16448574974493E-6,2.13986072594707E-6,1.99802229872148E-6,7.09802634446532E-6,7.09802634446532E-6,7.08225252310513E-6
1.576461738928E-10,2.15687418858579E-6,2.15045429285965E-6,1.99802229872148E-6,7.10583981344826E-6,7.10583981344826E-6,7.08225252310513E-6
1.97057717366E-10,2.14376495932811E-6,2.15184445551131E-6,2.00232420866087E-6,7.10951098881196E-6,7.10951098881196E-6,7.08387733538984E-6
2.36469260839201E-10,2.13067710319592E-6,2.15129557545879E-6,2.00662611860025E-6,7.11292386768037E-6,7.11292386768037E-6,7.08550214767456E-6
2.75880818190188E-10,2.11533392757701E-6,2.14434180634271E-6,2.01092802853964E-6,7.11257825969369E-6,7.11257825969369E-6,7.08712650521193E-6
3.15292347785601E-10,2.11007795769547E-6,2.14112537832989E-6,2.01522993847902E-6,7.11787788532092E-6,7.11787788532092E-6,7.08875131749664E-6
3.54703905136589E-10,2.09592894861999E-6,2.12266240851022E-6,2.01958869183727E-6,7.1129679781734E-6,7.1129679781734E-6,7.09145751898177E-6
3.94115434732001E-10,2.10362213692861E-6,2.12340160032909E-6,2.02394721782184E-6,7.12417477188865E-6,7.12417477188865E-6,7.09416417521425E-6
4.33526992082989E-10,2.07820380637713E-6,2.08668689083424E-6,2.02830597118009E-6,7.1049366852094E-6,7.1049366852094E-6,7.09687037669937E-6
4.72938521678401E-10,2.11390329241112E-6,2.11349652090576E-6,2.03266449716466E-6,7.13632061888347E-6,7.13632061888347E-6,7.0995765781845E-6
5.12350106784965E-10,2.04381967705558E-6,2.03074432647554E-6,2.03593594960694E-6,7.07788831277867E-6,7.07788831277867E-6,7.10271751813707E-6
5.51761636380377E-10,2.15476802623016E-6,2.14135866372089E-6,2.03920740204921E-6,7.17411103323684E-6,7.17411103323684E-6,7.10585845808964E-6
5.91173165975789E-10,1.94508515960479E-6,1.91860658560472E-6,2.04247885449149E-6,6.99974634699174E-6,6.99974634699174E-6,7.10899894329486E-6
6.30584695571201E-10,2.28584872274951E-6,2.27831765187148E-6,2.04575030693377E-6,7.29425119061489E-6,7.29425119061489E-6,7.11213988324744E-6
6.69996280677765E-10,1.6629531955914E-6,1.62835215178347E-6,2.04521552404913E-6,6.77223351885914E-6,6.77223351885914E-6,7.11259826857713E-6
7.09407810273177E-10,2.71157045972359E-6,2.73751379609166E-6,2.04468074116448E-6,7.6695087045664E-6,7.6695087045664E-6,7.11305619915947E-6
7.48819339868589E-10,2.20100810111035E-6,2.21726668314659E-6,2.04414595827984E-6,6.09961261943681E-6,6.09961261943681E-6,7.11351458448917E-6
7.88230869464002E-10,2.70566010840412E-6,2.7370699626772E-6,2.0436111753952E-6,6.80415041642846E-6,6.80415041642846E-6,7.11397251507151E-6
8.27642454570565E-10,1.56266264639271E-6,1.56078783675184E-6,2.07127163776022E-6,6.12088888374274E-6,6.12088888374274E-6,7.12129121893668E-6
8.67053984165977E-10,1.89912032055872E-6,1.88834530945314E-6,2.09893187275156E-6,7.73990086599952E-6,7.73990086599952E-6,7.12860992280184E-6
9.0646551376139E-10,1.49195830090321E-6,1.48104288655304E-6,2.12659233511658E-6,7.29494149709353E-6,7.29494149709353E-6,7.13592817191966E-6
9.45877043356802E-10,2.24324912778684E-6,2.2267340682447E-6,2.15425257010793E-6,7.67868914408609E-6,7.67868914408609E-6,7.14324687578483E-6
9.85288628463366E-10,9.68772269516194E-7,9.6540384220134E-7,2.12835925594845E-6,6.68921938995481E-6,6.68921938995481E-6,7.18201954441611E-6
1.02470021356993E-9,1.66962911407609E-6,1.66732468187547E-6,2.1024657144153E-6,8.20337027107598E-6,8.20337027107598E-6,7.22079221304739E-6
1.06411168765419E-9,1.04094897324103E-6,1.04157777514047E-6,2.07657240025583E-6,7.40446466807043E-6,7.40446466807043E-6,7.25956488167867E-6
1.10352327276075E-9,2.51949404628249E-6,2.5225522222172E-6,2.05067908609635E-6,8.16899591882247E-6,8.16899591882247E-6,7.29833755030995E-6
1.14293474684501E-9,2.06429376703454E-6,2.07019229492289E-6,2.03392664843705E-6,6.31673856332782E-6,6.31673856332782E-6,7.36611764295958E-6
1.18234633195158E-9,2.54652195508243E-6,2.54799329013622E-6,2.01717421077774E-6,6.77389789416338E-6,6.77389789416338E-6,7.43389819035656E-6
1.22175791705814E-9,1.55905513565813E-6,1.56831799813517E-6,2.00042154574476E-6,6.3798042901908E-6,6.3798042901908E-6,7.50167873775354E-6
1.2611693911424E-9,3.18065212923102E-6,3.1738820780447E-6,1.98366910808545E-6,7.41351686883718E-6,7.41351686883718E-6,7.56945883040316E-6
1.30058097624897E-9,2.26896077037964E-6,2.26497900257527E-6,1.9716651422641E-6,7.17009879735997E-6,7.17009879735997E-6,7.49864057070226E-6
1.33999256135553E-9,3.08922199110384E-6,3.08149924421741E-6,1.95966117644275E-6,7.35444746169378E-6,7.35444746169378E-6,7.42782185625401E-6
1.37940403543979E-9,1.18195578124869E-6,1.18311436381191E-6,1.9476572106214E-6,6.8996409936517E-6,6.8996409936517E-6,7.35700359655311E-6
1.41881562054635E-9,1.8909331629402E-6,1.89426782526425E-6,1.93565324480005E-6,7.72293606132735E-6,7.72293606132735E-6,7.28618533685221E-6
1.45822720565292E-9,1.31050569507352E-6,1.31381671053532E-6,1.99143482859654E-6,6.38153596810298E-6,6.38153596810298E-6,7.34462082618847E-6
1.49763867973718E-9,2.77886329058674E-6,2.78338006864942E-6,2.04721618501935E-6,6.97259565640707E-6,6.97259565640707E-6,7.40305586077739E-6
1.53705026484374E-9,2.34527760767378E-6,2.34775757235184E-6,2.10299776881584E-6,6.23704772806377E-6,6.23704772806377E-6,7.46149135011365E-6
1.576461738928E-9,2.69404699793085E-6,2.69717793344171E-6,2.15877912523865E-6,7.64902597438777E-6,7.64902597438777E-6,7.51992683944991E-6
1.61587332403457E-9,1.76469995949446E-6,1.76337596258236E-6,2.13459247788705E-6,7.1479294092569E-6,7.1479294092569E-6,7.35043295208015E-6
1.65528490914113E-9,3.18193701787095E-6,3.18408137900406E-6,2.11040583053546E-6,7.80441041570157E-6,7.80441041570157E-6,7.18093860996305E-6
1.69469638322539E-9,2.45384489971912E-6,2.45062483372749E-6,2.08621918318386E-6,6.66817413730314E-6,6.66817413730314E-6,7.01144517734065E-6
1.73410796833195E-9,3.22598316415679E-6,3.22853861689509E-6,2.06203253583226E-6,7.28433587937616E-6,7.28433587937616E-6,6.84195128997089E-6
