s,DDR3_CLK0_N_DDR3_CLK0_P_U5.K7_NoTerm,DDR3_CLK0_N_DDR3_CLK0_P_U4.K7_NoTerm,DDR3_CLK0_N_DDR3_CLK0_P_U2.N5_NoTerm,DDR3_CLK0_N_DDR3_CLK0_P_U5.J7_NoTerm,DDR3_CLK0_N_DDR3_CLK0_P_U4.J7_NoTerm,DDR3_CLK0_N_DDR3_CLK0_P_U2.N4_NoTerm
0,1.03340289570042E-6,1.01876719327265E-6,1.01051523415663E-6,1.01876742064633E-6,1.01876742064633E-6,1.0105154615303E-6
3.94115434732001E-11,1.03340289570042E-6,1.01876719327265E-6,1.01051523415663E-6,1.01876742064633E-6,1.01876742064633E-6,1.0105154615303E-6
7.88230869464002E-11,1.03269587725663E-6,1.0195991535511E-6,1.01051523415663E-6,1.01977343547333E-6,1.01977343547333E-6,1.0105154615303E-6
1.182346304196E-10,1.0302554755981E-6,1.02210924524115E-6,1.01051523415663E-6,1.02140404578677E-6,1.02140404578677E-6,1.0105154615303E-6
1.576461738928E-10,1.02697174497735E-6,1.02484796116187E-6,1.01051523415663E-6,1.02254045941663E-6,1.02254045941663E-6,1.0105154615303E-6
1.97057717366E-10,1.02387582501251E-6,1.02654860256735E-6,1.01104899385973E-6,1.02279386737791E-6,1.02279386737791E-6,1.0108520882568E-6
2.36469260839201E-10,1.02091803455551E-6,1.02773867638462E-6,1.01158275356283E-6,1.02289914138964E-6,1.02289914138964E-6,1.01118871498329E-6
2.75880818190188E-10,1.01864236512483E-6,1.02823844372324E-6,1.0121163995791E-6,1.02226124454319E-6,1.02226124454319E-6,1.01152545539662E-6
3.15292347785601E-10,1.01755620107724E-6,1.02782701105752E-6,1.0126501592822E-6,1.02249532574206E-6,1.02249532574206E-6,1.01186208212312E-6
3.54703905136589E-10,1.01745195024705E-6,1.02629553566658E-6,1.01304317468021E-6,1.02092303677637E-6,1.02092303677637E-6,1.01226146398403E-6
3.94115434732001E-10,1.01791397355555E-6,1.02445733318746E-6,1.01343607639137E-6,1.02218632491713E-6,1.02218632491713E-6,1.01266084584495E-6
4.33526992082989E-10,1.01874582014716E-6,1.02155206604948E-6,1.01382909178938E-6,1.01827083653916E-6,1.01827083653916E-6,1.01306022770586E-6
4.72938521678401E-10,1.01962837106839E-6,1.01949387953937E-6,1.01422210718738E-6,1.02318347217079E-6,1.02318347217079E-6,1.01345960956678E-6
5.12350106784965E-10,1.02021692782728E-6,1.01589148471248E-6,1.01454838841164E-6,1.01260980045481E-6,1.01260980045481E-6,1.01376895145222E-6
5.51761636380377E-10,1.02020919712231E-6,1.01577336408809E-6,1.0148746696359E-6,1.0288100611433E-6,1.0288100611433E-6,1.01407817965082E-6
5.91173165975789E-10,1.01955367881601E-6,1.01079433534323E-6,1.01520095086016E-6,9.9818385024264E-7,9.9818385024264E-7,1.01438752153626E-6
6.30584695571201E-10,1.01811679087405E-6,1.01562534382538E-6,1.01552723208442E-6,1.04866376204882E-6,1.04866376204882E-6,1.01469674973487E-6
6.69996280677765E-10,1.01621697012888E-6,1.00477075193339E-6,1.01537762020598E-6,9.57864926931506E-7,9.57864926931506E-7,1.01466855539911E-6
7.09407810273177E-10,1.01382931916305E-6,1.02241153854266E-6,1.0152278946407E-6,1.1126188610433E-6,1.1126188610433E-6,1.01464047475019E-6
7.48819339868589E-10,1.01189164070092E-6,9.91541696748754E-7,1.01507828276226E-6,8.4056250670983E-7,8.4056250670983E-7,1.01461228041444E-6
7.88230869464002E-10,1.00949694115116E-6,1.04561604530318E-6,1.01492867088382E-6,1.31089950627938E-6,1.31089950627938E-6,1.01458419976552E-6
8.27642454570565E-10,1.00859347185178E-6,9.51899892243091E-7,1.01499563243124E-6,4.90529828311992E-7,4.90529828311992E-7,1.01435830401897E-6
8.67053984165977E-10,1.00618490250781E-6,1.11459132767777E-6,1.01506248029182E-6,1.91459321285947E-6,1.91459321285947E-6,1.01413240827242E-6
9.0646551376139E-10,1.00769398159173E-6,8.30668057005823E-7,1.01512944183924E-6,1.26565862501593E-6,1.26565862501593E-6,1.0139066262127E-6
9.45877043356802E-10,1.00386409940256E-6,1.32259674501256E-6,1.01519628969982E-6,1.91444837582821E-6,1.91444837582821E-6,1.01368073046615E-6
9.85288628463366E-10,1.04064167771867E-6,4.95072072226321E-7,1.02019987480162E-6,4.55689757927757E-7,4.55689757927757E-7,1.04877176454465E-6
1.02470021356993E-9,1.0770875178423E-6,2.03071022042423E-6,1.02520345990342E-6,9.26951827295852E-7,9.26951827295852E-7,1.08386268493632E-6
1.06411168765419E-9,1.13002033685916E-6,1.44565467508073E-6,1.03020693131839E-6,4.71028357651448E-7,4.71028357651448E-7,1.11895360532799E-6
1.10352327276075E-9,1.06793345366896E-6,1.97357985598501E-6,1.03521051642019E-6,1.48243918829394E-6,1.48243918829394E-6,1.15404463940649E-6
1.14293474684501E-9,1.20007177883963E-6,4.89275805648504E-7,1.04770754205674E-6,1.12612497105147E-6,1.12612497105147E-6,1.12329848889203E-6
1.18234633195158E-9,1.18021569051052E-6,4.76640167335063E-7,1.06020456769329E-6,1.48988510773052E-6,1.48988510773052E-6,1.09255233837757E-6
1.22175791705814E-9,1.47957211993344E-6,4.57534696352013E-7,1.07270170701668E-6,7.07280150891165E-7,7.07280150891165E-7,1.06180618786311E-6
1.2611693911424E-9,1.02164119653025E-6,6.90869512709469E-7,1.08519873265323E-6,1.95104712474858E-6,1.95104712474858E-6,1.03106003734865E-6
1.30058097624897E-9,1.59055935000652E-6,6.98527628628653E-7,1.0732436521721E-6,1.22457345241855E-6,1.22457345241855E-6,1.05070591871481E-6
1.33999256135553E-9,2.33210471378698E-7,1.10569953903905E-6,1.06128857169097E-6,1.86687782388617E-6,1.86687782388617E-6,1.07035191376781E-6
1.37940403543979E-9,5.04344143337221E-7,7.77164530063601E-7,1.04933349120984E-6,2.91587468836951E-7,2.91587468836951E-7,1.08999779513397E-6
1.41881562054635E-9,1.97959465708664E-7,1.76103151261486E-6,1.03737841072871E-6,7.25774896181974E-7,7.25774896181974E-7,1.10964367650013E-6
1.45822720565292E-9,9.58067062128976E-7,2.70639105792725E-7,1.02345188679465E-6,3.0506649295603E-7,3.0506649295603E-7,1.09375730517058E-6
1.49763867973718E-9,1.40688571903524E-11,7.23792368262366E-7,1.00952547654742E-6,1.2121116697017E-6,1.2121116697017E-6,1.07787093384104E-6
1.53705026484374E-9,1.97710869542789E-6,-3.08426315598354E-8,9.95598952613364E-7,-3.11785697704181E-7,-3.11785697704181E-7,1.0619845625115E-6
1.576461738928E-9,1.19009882837418E-6,1.30048863411503E-6,9.81672542366141E-7,4.15919828355982E-7,4.15919828355982E-7,1.04609819118195E-6
1.61587332403457E-9,1.84364080269006E-6,8.62400440837519E-7,9.5939265065681E-7,-2.79056422414214E-7,-2.79056422414214E-7,1.06399681953917E-6
1.65528490914113E-9,2.24584120189775E-8,1.51593440023134E-6,9.37112702104059E-7,1.37804829591914E-6,1.37804829591914E-6,1.08189544789639E-6
1.69469638322539E-9,1.50195603509928E-7,5.29711542185396E-7,9.14832867238147E-7,9.83953782451863E-7,9.83953782451863E-7,1.09979396256676E-6
1.73410796833195E-9,9.61964374823765E-8,2.33635296353896E-6,8.92552918685396E-7,1.40982922403055E-6,1.40982922403055E-6,1.11769259092398E-6
1.77351955343852E-9,6.51316952371417E-7,1.37734252803057E-6,8.95818345725274E-7,4.87305555907369E-7,4.87305555907369E-7,1.07079677036381E-6
1.81293102752278E-9,4.17110811667953E-7,2.13973407880985E-6,8.99083715921734E-7,1.93953519556089E-6,1.93953519556089E-6,1.02390117717732E-6
1.85234261262934E-9,1.76752189418039E-6,-7.33258289642436E-8,9.02349142961612E-7,1.18152820505202E-6,1.18152820505202E-6,9.77005356617155E-7
