s,DDR3_DQS2_P_U5.F3_NoTerm,DDR3_DQS2_P_U2.N2_NoTerm
0,0.365499645471573,0.365541219711304
6.71296629395357E-11,0.365499645471573,0.365541219711304
1.34259325879071E-10,0.365499645471573,0.365541100502014
2.01388988818607E-10,0.365505397319794,0.365540981292725
2.68518651758143E-10,0.365511178970337,0.365540653467178
3.35648314697679E-10,0.365520447492599,0.365540474653244
4.02777977637214E-10,0.365529716014862,0.365539640188217
4.69907668332326E-10,0.365532130002975,0.365539371967316
5.37037303516286E-10,0.365534514188766,0.365537524223328
6.04166994211397E-10,0.365534424781799,0.365535229444504
6.71296629395357E-10,0.365534365177155,0.365533709526062
7.38426320090468E-10,0.365535527467728,0.365533173084259
8.05555955274428E-10,0.365536689758301,0.365533918142319
8.7268564596954E-10,0.365536242723465,0.365532517433167
9.39815336664651E-10,0.365535795688629,0.36553293466568
1.00694497184861E-9,0.365535110235214,0.365532398223877
1.07407460703257E-9,0.365534424781799,0.36553356051445
1.14120424221653E-9,0.365533620119095,0.365533441305161
1.20833398842279E-9,0.365532785654068,0.36553367972374
1.27546362360675E-9,0.365533143281937,0.365533411502838
1.34259325879071E-9,0.365533500909805,0.365534156560898
1.40972300499698E-9,0.365533232688904,0.36553293466568
1.47685264018094E-9,0.365532964468002,0.365533381700516
1.5439822753649E-9,0.365533202886581,0.365532845258713
1.61111191054886E-9,0.365533441305161,0.365534037351608
1.67824165675512E-9,0.365532875061035,0.365533798933029
1.74537129193908E-9,0.365532338619232,0.365534067153931
1.81250092712304E-9,0.365532904863358,0.365533500909805
1.8796306733293E-9,0.365533500909805,0.365534484386444
1.94676030851326E-9,0.376078426837921,0.365532636642456
2.01388994369722E-9,0.386623352766037,0.365533173084259
2.08101957888118E-9,0.620614051818848,0.365532577037811
2.14814921406514E-9,0.854604780673981,0.366581588983536
2.2152788492491E-9,1.06799268722534,0.369232654571533
2.28240848443306E-9,1.28138065338135,0.395949810743332
2.34953834166163E-9,1.27447712421417,0.458715170621872
2.41666797684559E-9,1.26757371425629,0.560000360012054
2.48379761202955E-9,1.24604749679565,0.701068997383118
2.55092724721351E-9,1.22452139854431,0.839385509490967
2.61805688239747E-9,1.15771543979645,0.952304780483246
2.68518651758143E-9,1.09090948104858,1.03322446346283
2.75231615276539E-9,1.04160833358765,1.07874357700348
2.81944600999395E-9,0.992307126522064,1.10843813419342
2.88657564517791E-9,1.01125741004944,1.13265883922577
2.95370528036187E-9,1.03020763397217,1.15090203285217
3.02083491554583E-9,1.0642306804657,1.16290247440338
3.08796455072979E-9,1.09825384616852,1.16739475727081
3.15509418591375E-9,1.10741436481476,1.16369688510895
3.22222382109771E-9,1.116574883461,1.15720045566559
3.28935345628167E-9,1.12477850914001,1.1507785320282
3.35648331351024E-9,1.13298225402832,1.14652490615845
3.4236129486942E-9,1.14227640628815,1.14554584026337
3.49074258387816E-9,1.15157055854797,1.1454541683197
3.55787221906212E-9,1.15163612365723,1.14497554302216
3.62500185424608E-9,1.15170168876648,1.1442015171051
3.69213148943004E-9,1.14882338047028,1.14318478107452
